identificatie;identificatieWegdeelSRM1;identificatieOverheid;naamOverheid;naam;wegtype;boomFactor;afstand;indicatieToetspunt;grondReceptor;opmerking;datumActualisatie;geometrie
R22914;W14541;1581;naamOverheid;naam;BASISTYPE;GROTE_HOEVEELHEID_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(147292.593612456 452803.406387544)
R22915;W14541;1581;naamOverheid;naam;BASISTYPE;GROTE_HOEVEELHEID_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(147302.429468115 452793.570531885)
R22916;W14542;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(147102.892553648 453090.332597781)
R22917;W14542;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(147082.452792039 453071.04980381)
R22918;W14543;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(147182.194473514 453007.769703784)
R22919;W14543;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(147161.704448218 452988.133429542)
R22920;W14544;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(147252.876418288 452938.091123033)
R22921;W14544;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(147233.025656964 452917.80882342)
R23280;W14759;20010;naamOverheid;naam;BASISTYPE;MEERDERE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(147627.266052375 446819.255648232)
R23281;W14759;20010;naamOverheid;naam;BASISTYPE;MEERDERE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(147616.733947625 446782.744351768)
R23282;W14760;20010;naamOverheid;naam;BASISTYPE;MEERDERE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(147731.273253404 446789.253569474)
R23283;W14760;20010;naamOverheid;naam;BASISTYPE;MEERDERE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(147720.726746596 446752.746430526)
R23284;;20010;naamOverheid;naam;NO_VALUE;NO_VALUE;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(147835.575017477 446757.165061753)
R23285;;20010;naamOverheid;naam;NO_VALUE;NO_VALUE;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(147826.424982523 446724.834938247)
R23286;;20010;naamOverheid;naam;NO_VALUE;NO_VALUE;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(147946.481606439 446727.475975518)
R23287;;20010;naamOverheid;naam;NO_VALUE;NO_VALUE;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(147931.518393561 446686.524024482)
R23288;;20010;naamOverheid;naam;NO_VALUE;NO_VALUE;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(148053.517838366 446679.612515421)
R23289;;20010;naamOverheid;naam;NO_VALUE;NO_VALUE;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(148034.482161634 446640.387484579)
R23290;W14764;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(147843.218433752 451491.474194299)
R23291;W14764;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(147857.272575857 451509.920255813)
R23292;W14765;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(147900.858627069 451457.342911678)
R23293;W14765;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(147914.938848167 451481.776236526)
R23294;W14766;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(147564.420204913 451771.739526702)
R23295;W14766;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(147543.579795087 451754.260473298)
R23296;W14767;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(147628.899306909 451701.325434045)
R23297;W14767;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(147609.100693091 451682.674565955)
R23298;W14768;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(147697.110006361 451638.917316256)
R23299;W14768;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(147680.889993639 451617.082683744)
R23300;W14769;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(147794.081883215 451554.726021902)
R23301;W14769;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(147781.042603194 451537.468151286)
R23302;W14770;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(147749.004851828 451597.787882421)
R23303;W14770;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(147733.716915596 451581.17056043)
R23304;;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(147941.821034984 452557.223328685)
R23305;;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(147918.178965016 452540.776671315)
R23306;;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(148020.943355895 452493.729485807)
R23307;;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(148007.056644105 452468.270514193)
