identificatie;wegdeel;naamOverheid;naam;bebouwingstype;bomenfactor;toetspuntSoort;grondslag;opmerking;identificatiePandBAG;tijdstipRegistratie;geometrie
01178692_80590;01178692_49257;Meppel;Randweg, Meppel;3;1;Alle;0;;;9-2-2022 14:02;POINT(208218.928675997 522382.621511064)
27364178_682030;;Rijkswaterstaat;Rijkswaterstaat;;;Alle;0;;;9-2-2022 14:02;POINT(231403 557295.825)
27364178_682032;;Rijkswaterstaat;Rijkswaterstaat;;;Alle;1;;;9-2-2022 14:02;POINT(231468 557296.061)
