identificatie;naamOverheid;typeOverheid;straatnaam;wegnummer;rekenmethode;wegsoort;tunnelfactor;hoogte;taludSoort;overdrachtLinksSoort;overdrachtLinksAfstand;overdrachtLinksHoogte;overdrachtRechtsSoort;overdrachtRechtsHoogte;maximumsnelheid;maximumsnelheidDynamisch;intensiteitLichtVerkeer;intensiteitLichtVerkeerDynamisch;intensiteitMiddelzwaarVerkeer;intensiteitZwaarVerkeer;intensiteitBusVerkeer;stagnatiefactorLichtVerkeer;stagnatiefactorMiddelzwaarVerkeer;stagnatiefactorZwaarVerkeer;stagnatiefactorBusVerkeer;opmerking;tijdstipRegistratie;geometrie
34366966_1279675;Gemeente Amsterdam;G;Admiraal de Ruijterweg;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;394;-999;46;28;5;0.21;0.21;0.21;0.21;MT2017_1857;27-9-2022 09:14;LINESTRING(118947.0612999979 487826.4932,118949.1038999999 487817.2963000009,118952.437600002 487799.9925,118985.9339999999 487617.112100001,118995.4589999989 487564.8832999989,119001 487553)
34366966_1279661;Gemeente Amsterdam;G;Molenwerf;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;3569;-999;52;34;0;0.11;0.11;0.11;0.11;MT2017_1776;27-9-2022 09:14;LINESTRING(118200.4585999999 488803.2839,118219.635699999 488804.5678999979,118233.9548999999 488804.236400001,118243.7974000009 488801.855099998,118250.3062000009 488797.0925999989,118255.5448999999 488789.7901000009,118256.8328000009 488775.575599998,118257.529100001 488749.8405000009,118258.455200002 488728.0661000009,118260.9999999999 488706.9999999999)
34366966_1279676;Gemeente Amsterdam;G;Admiraal de Ruijterweg;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;394;-999;46;28;5;0.21;0.21;0.21;0.21;MT2017_1858;27-9-2022 09:14;LINESTRING(118953.8664 487827.614999998,118965.455200002 487759.0348999979,118986.2514999989 487645.5284,118998.634 487578.2183,119001.3326999989 487565.2008000019,119001 487553)
34366966_1279662;Gemeente Amsterdam;G;Sloterdijkerweg;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;6374;-999;127;83;0;0.03;0.03;0.03;0.03;MT2017_1777;27-9-2022 09:14;LINESTRING(118106.644000001 488833.4360000009,118106.835999999 488848.3299999979,118115.3079999979 488890.741999999,118128.068399999 488923.457899999,118137.4347000009 488944.4129000009,118140.2921999989 488952.668000001,118153.944699999 488990.133000001,118159.3421999999 489019.3431,118161.121300001 489048.414700001,118162.041000001 489055.6968999989)
34366966_1279663;Gemeente Amsterdam;G;Changiweg;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;4665;-999;12;6;0;0.02;0.02;0.02;0.02;MT2017_1779;27-9-2022 09:14;LINESTRING(118145.9999999999 489107.9999999999,118157 489095,118162.2069999989 489075.868999999,118162.993500002 489066.3331999999)
34366966_1279664;Gemeente Amsterdam;G;Sloterdijkerweg;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;6374;-999;127;83;0;0.02;0.02;0.02;0.02;MT2017_1783;27-9-2022 09:14;LINESTRING(118162.041000001 489055.6968999989,118162.993500002 489066.3331999999)
34366966_1279677;Gemeente Amsterdam;G;De Rijpstraat;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;461;-999;13;8;0;0.2;0.2;0.2;0.2;MT2017_1859;27-9-2022 09:14;LINESTRING(118947.0612999979 487826.4932,119019.4514000009 487838.7169999999)
34366966_1279665;Gemeente Amsterdam;G;Aalsmeerweg;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;7565;-999;313;205;110;0.13;0.13;0.13;0.13;MT2017_1799;27-9-2022 09:14;LINESTRING(118330 484741.9999999999,118338.9999999999 484757.9999999999,118351 484783,118357 484797.9999999999,118358.9999999999 484809,118361 484846.9999999999,118359.9999999999 484902,118360.8546000009 484914.818799999,118369.059999999 484930.317000002)
34366966_1279666;Gemeente Amsterdam;G;Hoofddorpplein;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;5710;-999;282;175;202;0.11;0.11;0.11;0.11;MT2017_1802;27-9-2022 09:14;LINESTRING(118364.9620000009 484932.4439999979,118369.059999999 484930.317000002,118370.73 484929.4510000009,118383.815200001 484929.1506000009)
34366966_1279678;Gemeente Amsterdam;G;Admiraal de Ruijterweg;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;7806;-999;508;297;164;0.1;0.1;0.1;0.1;MT2017_2840;27-9-2022 09:14;LINESTRING(119066.9999999999 487201,119079.831 487203.5909999979,119087 487201)
34366966_1279667;Gemeente Amsterdam;G;Hoofddorpplein;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;8182;-999;372;226;93;0.12;0.12;0.12;0.12;MT2017_1803;27-9-2022 09:14;LINESTRING(118361 484994.9999999999,118368.7049999979 484987.2679999999,118373.5122999999 484988.8394000009,118377.353999998 484989.305,118382.5106999989 484989.074999999,118410.4186 484987.8302999999,118415.124400001 484985.297400001)
34366966_1279679;Gemeente Amsterdam;G;Cornelis Krusemanstraat;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;5921;-999;77;50;450;0.03;0.03;0.03;0.03;MT2017_1866;27-9-2022 09:14;LINESTRING(119138.9999999999 484891,119192 484912.9999999999,119277.9999999999 484949.9999999999,119286 484954)
34366966_1279668;Gemeente Amsterdam;G;Nieuwe Hemweg;;SRM1;b;1;-999;;;-999;-999;;-999;70;-999;7770;-999;537;395;0;0;0;0;0;MT2017_1814;27-9-2022 09:14;LINESTRING(118642.559 490289.943999998,118676.952 490263.2762,118711 490237,118765 490198,118836.9999999999 490144,119049 489986.9999999999,119191 489883.9999999999,119201 489878)
