identificatie;naamOverheid;typeOverheid;straatnaam;wegnummer;rekenmethode;wegsoort;tunnelfactor;hoogte;taludSoort;overdrachtLinksSoort;overdrachtLinksAfstand;overdrachtLinksHoogte;overdrachtRechtsSoort;overdrachtRechtsHoogte;maximumsnelheid;maximumsnelheidDynamisch;intensiteitLichtVerkeer;intensiteitLichtVerkeerDynamisch;intensiteitMiddelzwaarVerkeer;intensiteitZwaarVerkeer;intensiteitBusVerkeer;stagnatiefactorLichtVerkeer;stagnatiefactorMiddelzwaarVerkeer;stagnatiefactorZwaarVerkeer;stagnatiefactorBusVerkeer;opmerking;tijdstipRegistratie;geometrie
34366966_6709;Gemeente Amsterdam;G;Burg de Vlugtlaan;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;7573;-999;122;50;202;0.16;0.16;0.16;0.16;MT2017_1;27-9-2022 09:13;LINESTRING(116304.9999999999 488677.9999999999,116304.9999999999 488649.9999999999)
34366966_6710;Gemeente Amsterdam;G;Burg de Vlugtlaan;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;7573;-999;122;50;202;0.16;0.16;0.16;0.16;MT2017_2;27-9-2022 09:13;LINESTRING(116288.9999999999 488649,116291 488677.9999999999)
34366966_7175;Gemeente Amsterdam;G;Amstelveenseweg;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;12800;-999;507;326;510;0.2;0.2;0.2;0.2;MT2017_3;27-9-2022 09:13;LINESTRING(118893 483366,118893 483384.9999999999)
34366966_7572;Gemeente Amsterdam;G;Europaplein;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;6772;-999;258;172;90;0.27;0.27;0.27;0.27;MT2017_5;27-9-2022 09:13;LINESTRING(121274.9999999999 483891.9999999999,121274.9999999999 483894.9999999999,121276 483903.9999999999)
34366966_7573;Gemeente Amsterdam;G;Scheldestraat;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;5330;-999;387;260;178;0.19;0.19;0.19;0.19;MT2017_6;27-9-2022 09:13;LINESTRING(121195.9999999999 484452,121199.9999999999 484496)
34366966_7954;Gemeente Amsterdam;G;Holterbergweg;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;10408;-999;257;144;0;0.15;0.15;0.15;0.15;MT2017_7;27-9-2022 09:13;LINESTRING(124283.9999999999 480545,124289.9999999999 480534.9999999999)
34366966_1143846;Gemeente Amsterdam;G;Basisweg;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;8772;-999;522;390;62;0.02;0.02;0.02;0.02;MT2017_1586;27-9-2022 09:14;LINESTRING(115616 489878.9999999999,115617.9999999999 489874.9999999999,115623.9999999999 489867,115627.9999999999 489859,115634.9999999999 489850,115677 489794,115728.9999999999 489735.9999999999,115755 489707,115789 489674.9999999999,115792 489672,115823.9999999999 489642.9999999999,115856 489616.9999999999,115859 489614.9999999999,115924.9999999999 489567.9999999999,115931 489564,115947 489553.9999999999)
34366966_1143847;Gemeente Amsterdam;G;Meer en Vaart;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;8116;-999;224;88;154;0.18;0.18;0.18;0.18;MT2017_1587;27-9-2022 09:14;LINESTRING(115620.8699999999 485542.926,115626.551 485523.05)
34366966_1143849;Gemeente Amsterdam;G;Meer en Vaart;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;8116;-999;224;88;154;0.18;0.18;0.18;0.18;MT2017_1589;27-9-2022 09:14;LINESTRING(115626.8599999999 485573.997,115635.7159999999 485547.138)
34366966_1143850;Gemeente Amsterdam;G;Meer en Vaart;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;8116;-999;224;88;154;0.2;0.2;0.2;0.2;MT2017_1590;27-9-2022 09:14;LINESTRING(115635.7159999999 485547.138,115646.0749999999 485514.9969999999)
34366966_1143864;Gemeente Amsterdam;G;Anderlechtlaan;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;3078;-999;94;32;121;0.06;0.06;0.06;0.06;MT2017_1604;27-9-2022 09:14;LINESTRING(115773.9999999999 484208.9999999999,115772.9999999999 484274)
34362354_91941;provincie Noord-Holland;P;Noordzeekanaalweg;N202;SRM2;92;1;0;;;-999;-999;;-999;80;-999;6671;-999;777;368;-999;0;0;0;-999;;27-9-2022 09:13;LINESTRING(110793.9999999999 493742,110830 493729.9999999999,110847 493724,110865.9999999999 493719,110885.9999999999 493712.9999999999)
73540374_93274;Gemeente Haarlemmermeer;G;Amsterdamse Baan;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;20955;-999;483;479;0;0.0204;0.0204;0.0204;0.0204;;27-9-2022 09:13;LINESTRING(112721 484924.9999999999,112728 484935.9999999999,112738 484952,112779.9999999999 485015.9999999999)
34366966_94605;Gemeente Amsterdam;G;De Alpen;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;3982;-999;50;19;0;0;0;0;0;MT2017_9;27-9-2022 09:13;LINESTRING(113680 484872,113793 484797)
34366966_94606;Gemeente Amsterdam;G;De Alpen;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;3982;-999;50;19;0;0;0;0;0;MT2017_10;27-9-2022 09:13;LINESTRING(113684.9999999999 484881,113797.9999999999 484806)
34366966_94611;Gemeente Amsterdam;G;Ecuplein;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;4576;-999;50;20;0;0;0;0;0;MT2017_11;27-9-2022 09:13;LINESTRING(113931 484707,113959 484689,113976 484679,113995 484672,114014.9999999999 484670.9999999999,114026.9999999999 484672)
34366966_94612;Gemeente Amsterdam;G;Ecuplein;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;4965;-999;52;20;0;0.01;0.01;0.01;0.01;MT2017_12;27-9-2022 09:13;LINESTRING(113934 484712.9999999999,113962 484694,113982 484684,113992 484679.9999999999,114003 484677.9999999999,114013.9999999999 484677.9999999999,114026 484679)
34366966_94619;Gemeente Amsterdam;G;Ookmeerweg;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;9084;-999;96;34;115;0.07;0.07;0.07;0.07;MT2017_13;27-9-2022 09:13;LINESTRING(113674 485904.9999999999,113725 485984)
34366966_94962;Gemeente Amsterdam;G;Pieter Calandlaan;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;4640;-999;46;18;2;0.11;0.11;0.11;0.11;MT2017_16;27-9-2022 09:13;LINESTRING(114163.9999999999 484813,114270.9999999999 484846.9999999999)
34366966_94963;Gemeente Amsterdam;G;Pieter Calandlaan;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;4640;-999;46;18;2;0.11;0.11;0.11;0.11;MT2017_17;27-9-2022 09:13;LINESTRING(114169.9999999999 484795.9999999999,114275.9999999999 484830.9999999999)
34366966_94969;Gemeente Amsterdam;G;Baden Powellweg;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;8880;-999;82;29;110;0.15;0.15;0.15;0.15;MT2017_18;27-9-2022 09:13;LINESTRING(114491 485224,114525 485120)
34366966_94972;Gemeente Amsterdam;G;Baden Powellweg;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;7517;-999;87;32;115;0.11;0.11;0.11;0.11;MT2017_19;27-9-2022 09:13;LINESTRING(114310 485782.9999999999,114327 485730)
34366966_95270;Gemeente Amsterdam;G;Pieter Calandlaan;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;5168;-999;61;24;4;0.21;0.21;0.21;0.21;MT2017_22;27-9-2022 09:13;LINESTRING(114693 484966,114793.9999999999 484998)
34366966_95271;Gemeente Amsterdam;G;Baden Powellweg;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;14199;-999;141;52;111;0.05;0.05;0.05;0.05;MT2017_23;27-9-2022 09:13;LINESTRING(114782.9999999999 484651,114799.9999999999 484635.9999999999,114830.9999999999 484609,114863 484583.9999999999)
34366966_95272;Gemeente Amsterdam;G;Baden Powellweg;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;14108;-999;141;52;111;0.06;0.06;0.06;0.06;MT2017_24;27-9-2022 09:13;LINESTRING(114694.9999999999 484731.9999999999,114712.9999999999 484715,114782.9999999999 484651)
34366966_95273;Gemeente Amsterdam;G;Pieter Calandlaan;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;5168;-999;61;24;4;0.19;0.19;0.19;0.19;MT2017_25;27-9-2022 09:13;LINESTRING(114789.9999999999 485010.9999999999,114891 485043)
34366966_95274;Gemeente Amsterdam;G;Pieter Calandlaan;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;5168;-999;61;24;4;0.21;0.21;0.21;0.21;MT2017_26;27-9-2022 09:13;LINESTRING(114688.9999999999 484978.9999999999,114789.9999999999 485010.9999999999)
34366966_95279;Gemeente Amsterdam;G;Pieter Calandlaan;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;5284;-999;62;24;4;0.16;0.16;0.16;0.16;MT2017_27;27-9-2022 09:13;LINESTRING(114580.9999999999 484947,114623.9999999999 484959,114688.9999999999 484978.9999999999)
34366966_95281;Gemeente Amsterdam;G;Pieter Calandlaan;;SRM1;c;1;-999;;;-999;-999;;-999;30;-999;7651;-999;85;34;2;0.17;0.17;0.17;0.17;MT2017_28;27-9-2022 09:13;LINESTRING(114580.9999999999 484947,114521.9999999999 484928)
34366966_95282;Gemeente Amsterdam;G;Pieter Calandlaan;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;5284;-999;62;24;4;0.16;0.16;0.16;0.16;MT2017_29;27-9-2022 09:13;LINESTRING(114586.9999999999 484930,114693 484966)
34366966_95283;Gemeente Amsterdam;G;Pieter Calandlaan;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;5166;-999;61;24;4;0.12;0.12;0.12;0.12;MT2017_30;27-9-2022 09:13;LINESTRING(114894.9999999999 485029.9999999999,114995 485062)
34366966_95284;Gemeente Amsterdam;G;Pieter Calandlaan;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;5026;-999;45;19;0;0.12;0.12;0.12;0.12;MT2017_31;27-9-2022 09:13;LINESTRING(114995 485062,114999.9999999999 485062.9999999999,115097.9999999999 485093.9999999999)
34366966_95288;Gemeente Amsterdam;G;Pieter Calandlaan;;SRM1;c;1;-999;;;-999;-999;;-999;30;-999;5166;-999;61;24;4;0.12;0.12;0.12;0.12;MT2017_32;27-9-2022 09:13;LINESTRING(114891 485043,114990.9999999999 485074)
34366966_95293;Gemeente Amsterdam;G;Ookmeerweg;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;13473;-999;115;46;0;0;0;0;0;MT2017_33;27-9-2022 09:13;LINESTRING(114549.9999999999 486409,114559 486411,114658.9999999999 486444)
34366966_95294;Gemeente Amsterdam;G;Ookmeerweg;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;13473;-999;115;46;0;0;0;0;0;MT2017_34;27-9-2022 09:13;LINESTRING(114658.9999999999 486444,114715.9999999999 486462)
34366966_95295;Gemeente Amsterdam;G;Ookmeerweg;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;13459;-999;115;46;0;0;0;0;0;MT2017_35;27-9-2022 09:13;LINESTRING(114715.9999999999 486462,114796 486488)
34366966_95300;Gemeente Amsterdam;G;Australiehavenweg;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;5313;-999;163;104;186;0.01;0.01;0.01;0.01;MT2017_36;27-9-2022 09:13;LINESTRING(114653.9999999999 489926.9999999999,114656 490035)
34366966_95269;Gemeente Amsterdam;G;Pieter Calandlaan;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;5168;-999;61;24;4;0.19;0.19;0.19;0.19;MT2017_21;27-9-2022 09:13;LINESTRING(114793.9999999999 484998,114894.9999999999 485029.9999999999)
34366966_95629;Gemeente Amsterdam;G;Pieter Calandlaan;;SRM1;e;1;-999;;;-999;-999;;-999;30;-999;5105;-999;45;19;0;0.12;0.12;0.12;0.12;MT2017_37;27-9-2022 09:13;LINESTRING(115189 485123,115118.9999999999 485099.9999999999,115111 485097.9999999999)
34366966_95648;Gemeente Amsterdam;G;Ookmeerweg;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;13587;-999;116;48;0;0.07;0.07;0.07;0.07;MT2017_40;27-9-2022 09:13;LINESTRING(115019.9999999999 486559,115091.9999999999 486580.9999999999)
34366966_96533;Gemeente Amsterdam;G;Pieter Calandlaan;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;4711;-999;42;15;120;0.03;0.03;0.03;0.03;MT2017_51;27-9-2022 09:13;LINESTRING(116362.9999999999 485510,116369.9999999999 485510.9999999999,116416.9999999999 485512)
34366966_96535;Gemeente Amsterdam;G;Pieter Calandlaan;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;5601;-999;70;27;10;0.03;0.03;0.03;0.03;MT2017_52;27-9-2022 09:13;LINESTRING(116457 485512,116538.9999999999 485512.9999999999)
34366966_96536;Gemeente Amsterdam;G;Pieter Calandlaan;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;4711;-999;42;15;120;0.03;0.03;0.03;0.03;MT2017_53;27-9-2022 09:13;LINESTRING(116416.9999999999 485512,116457 485512)
34366966_96561;Gemeente Amsterdam;G;Slotermeerlaan;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;5502;-999;140;53;94;0.1;0.1;0.1;0.1;MT2017_54;27-9-2022 09:13;LINESTRING(116325.9999999999 487725.9999999999,116330 487732.9999999999,116358 487837)
34366966_96563;Gemeente Amsterdam;G;Slotermeerlaan;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;5502;-999;140;53;94;0.1;0.1;0.1;0.1;MT2017_55;27-9-2022 09:13;LINESTRING(116314 487727.9999999999,116315.9999999999 487736.9999999999,116342.9999999999 487840)
34366966_96604;Gemeente Amsterdam;G;Seineweg;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;7237;-999;312;162;148;0.03;0.03;0.03;0.03;MT2017_59;27-9-2022 09:13;LINESTRING(116308.9999999999 489010,116307.9999999999 489041)
34366966_96530;Gemeente Amsterdam;G;Sloterweg;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;2576;-999;97;35;0;0;0;0;0;MT2017_50;27-9-2022 09:13;LINESTRING(116365 483940,116430.9999999999 483943.9999999999,116508.9999999999 483948)
34366966_97046;Gemeente Amsterdam;G;Johan Huizingalaan;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;3369;-999;60;22;178;0.23;0.23;0.23;0.23;MT2017_65;27-9-2022 09:13;LINESTRING(116867.9999999999 484825.9999999999,116870 484741.9999999999)
34366966_97047;Gemeente Amsterdam;G;Johan Huizingalaan;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;3369;-999;60;22;178;0.31;0.31;0.31;0.31;MT2017_66;27-9-2022 09:13;LINESTRING(116870 484741.9999999999,116869 484722,116871.9999999999 484621.9999999999)
34366966_97057;Gemeente Amsterdam;G;Pieter Calandlaan;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;5601;-999;70;27;10;0.07;0.07;0.07;0.07;MT2017_68;27-9-2022 09:13;LINESTRING(116579 485512.9999999999,116633.9999999999 485513.9999999999)
34366966_97058;Gemeente Amsterdam;G;Pieter Calandlaan;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;5601;-999;70;27;10;0.03;0.03;0.03;0.03;MT2017_69;27-9-2022 09:13;LINESTRING(116538.9999999999 485512.9999999999,116579 485512.9999999999)
34366966_97060;Gemeente Amsterdam;G;Pieter Calandlaan;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;5434;-999;154;62;10;0.1;0.1;0.1;0.1;MT2017_71;27-9-2022 09:13;LINESTRING(116774 485515,116809 485515.9999999999)
34366966_97061;Gemeente Amsterdam;G;Pieter Calandlaan;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;5434;-999;154;62;10;0.1;0.1;0.1;0.1;MT2017_72;27-9-2022 09:13;LINESTRING(116713 485513.9999999999,116741 485515,116774 485515)
34366966_97062;Gemeente Amsterdam;G;Pieter Calandlaan;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;5417;-999;154;62;10;0.11;0.11;0.11;0.11;MT2017_73;27-9-2022 09:13;LINESTRING(116691.9999999999 485513.9999999999,116713 485513.9999999999)
34366966_97063;Gemeente Amsterdam;G;Pieter Calandlaan;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;5417;-999;154;62;10;0.11;0.11;0.11;0.11;MT2017_74;27-9-2022 09:13;LINESTRING(116657.9999999999 485513.9999999999,116691.9999999999 485513.9999999999)
34366966_97064;Gemeente Amsterdam;G;Pieter Calandlaan;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;5417;-999;154;62;10;0.1;0.1;0.1;0.1;MT2017_75;27-9-2022 09:13;LINESTRING(116633.9999999999 485513.9999999999,116657.9999999999 485513.9999999999)
34366966_97065;Gemeente Amsterdam;G;Johan Huizingalaan;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;2490;-999;39;14;75;0.06;0.06;0.06;0.06;MT2017_76;27-9-2022 09:13;LINESTRING(116850 485848,116859 485838,116860.9999999999 485820,116861.9999999999 485784,116863.9999999999 485768,116870 485754.9999999999,116873 485749.9999999999)
34366966_97067;Gemeente Amsterdam;G;Johan Huizingalaan;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;2680;-999;42;16;75;0.06;0.06;0.06;0.06;MT2017_78;27-9-2022 09:13;LINESTRING(116832 485749,116836 485754.9999999999,116842 485766,116843.9999999999 485780.9999999999,116843 485834,116850 485848)
34366966_97069;Gemeente Amsterdam;G;Johan Huizingalaan;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;8643;-999;166;63;192;0.11;0.11;0.11;0.11;MT2017_80;27-9-2022 09:13;LINESTRING(116844.9999999999 486239,116846 486174)
34366966_97079;Gemeente Amsterdam;G;Johan Huizingalaan;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;10714;-999;182;70;192;0.11;0.11;0.11;0.11;MT2017_81;27-9-2022 09:13;LINESTRING(116844.9999999999 486239,116844.9999999999 486381.9999999999)
34366966_97083;Gemeente Amsterdam;G;Oostoever;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;7516;-999;180;69;16;0;0;0;0;MT2017_82;27-9-2022 09:13;LINESTRING(116850.9999999999 486575,116857 486594,116867 486617,116876 486634)
34366966_97100;Gemeente Amsterdam;G;Burg de Vlugtlaan;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;6612;-999;94;38;172;0.09;0.09;0.09;0.09;MT2017_83;27-9-2022 09:13;LINESTRING(116806.9999999999 488239,116846 488231)
34366966_97105;Gemeente Amsterdam;G;Burg de Vlugtlaan;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;6664;-999;118;48;172;0.03;0.03;0.03;0.03;MT2017_84;27-9-2022 09:13;LINESTRING(116843 488215.9999999999,116941 488191)
34366966_97117;Gemeente Amsterdam;G;Nieuwe Hemweg;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;382;-999;4;4;0;0;0;0;0;MT2017_85;27-9-2022 09:13;LINESTRING(116836.9999999999 492304,116843 492281.9999999999,116846 492267.9999999999)
34366966_97120;Gemeente Amsterdam;G;Nieuwe Hemweg;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;382;-999;4;4;0;0;0;0;0;MT2017_86;27-9-2022 09:13;LINESTRING(116827.9999999999 492300,116832 492286,116836 492267.9999999999)
34366966_97504;Gemeente Amsterdam;G;Postjesweg;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;2290;-999;10;5;87;0.08;0.08;0.08;0.08;MT2017_89;27-9-2022 09:13;LINESTRING(117391 486385.9999999999,117480.9999999999 486387.9999999999)
34366966_97514;Gemeente Amsterdam;G;Jan van Galenstraat;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;8896;-999;112;47;2;0.09;0.09;0.09;0.09;MT2017_94;27-9-2022 09:13;LINESTRING(117379.9999999999 487401,117402.9999999999 487394.9999999999,117432 487387,117457.9999999999 487380)
34366966_97515;Gemeente Amsterdam;G;Jan van Galenstraat;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;8868;-999;112;47;2;0.11;0.11;0.11;0.11;MT2017_95;27-9-2022 09:13;LINESTRING(117457.9999999999 487380,117548 487357.9999999999,117565 487352.9999999999)
34366966_97529;Gemeente Amsterdam;G;Burg van de Pollstraat;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;2953;-999;20;7;0;0.03;0.03;0.03;0.03;MT2017_97;27-9-2022 09:13;LINESTRING(117243.9999999999 487582,117267 487671,117269 487678)
34366966_97531;Gemeente Amsterdam;G;Burgemeester Fockstraat;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;3312;-999;22;8;0;0.04;0.04;0.04;0.04;MT2017_98;27-9-2022 09:13;LINESTRING(117151.9999999999 487896,117164 487943)
34366966_97532;Gemeente Amsterdam;G;Burgemeester Fockstraat;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;3312;-999;22;8;0;0.02;0.02;0.02;0.02;MT2017_99;27-9-2022 09:13;LINESTRING(117131.9999999999 487823,117151.9999999999 487896)
34366966_97541;Gemeente Amsterdam;G;Burgemeester Fockstraat;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;3821;-999;31;12;0;0.04;0.04;0.04;0.04;MT2017_100;27-9-2022 09:13;LINESTRING(117200.9999999999 488091,117209 488119.9999999999)
34366966_97988;Gemeente Amsterdam;G;Cornelis Lelylaan;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;11355;-999;273;117;0;0.15;0.15;0.15;0.15;MT2017_104;27-9-2022 09:13;LINESTRING(117620.9999999999 485712,117684.9999999999 485712)
34366966_97989;Gemeente Amsterdam;G;Cornelis Lelylaan;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;13743;-999;459;192;0;0.12;0.12;0.12;0.12;MT2017_105;27-9-2022 09:13;LINESTRING(117636 485695,117697 485695)
34366966_97998;Gemeente Amsterdam;G;Jan van Galenstraat;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;8867;-999;112;47;2;0.11;0.11;0.11;0.11;MT2017_106;27-9-2022 09:13;LINESTRING(117565 487352.9999999999,117629 487335)
34366966_98011;Gemeente Amsterdam;G;Jan van Galenstraat;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;10987;-999;155;68;0;0.23;0.23;0.23;0.23;MT2017_107;27-9-2022 09:13;LINESTRING(117799 487312.9999999999,117842 487314)
34366966_98024;Gemeente Amsterdam;G;Basisweg;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;14362;-999;830;544;276;0.34;0.34;0.34;0.34;MT2017_108;27-9-2022 09:13;LINESTRING(117694 489447,117744 489447,117803.9999999999 489447)
34366966_98390;Gemeente Amsterdam;G;Aalsmeerweg;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;9761;-999;291;188;110;0.01;0.01;0.01;0.01;MT2017_109;27-9-2022 09:13;LINESTRING(118176.9999999999 484499,118225 484576)
34366966_98391;Gemeente Amsterdam;G;Henk Sneevlietweg;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;4578;-999;120;79;0;0;0;0;0;MT2017_110;27-9-2022 09:13;LINESTRING(118077 484370,118087.9999999999 484377,118104 484389.9999999999,118117.9999999999 484403,118131.9999999999 484417.9999999999,118144.9999999999 484435,118157 484452.9999999999,118159.9999999999 484457.9999999999)
34366966_98392;Gemeente Amsterdam;G;Henk Sneevlietweg;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;4578;-999;120;79;0;0;0;0;0;MT2017_111;27-9-2022 09:13;LINESTRING(118070 484377.9999999999,118071.9999999999 484379.9999999999,118087.9999999999 484393,118104 484407,118114 484419,118131 484443.9999999999,118144.9999999999 484464)
34366966_98393;Gemeente Amsterdam;G;Aalsmeerplein;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;4881;-999;146;94;55;0.01;0.01;0.01;0.01;MT2017_112;27-9-2022 09:13;LINESTRING(118159.9999999999 484457.9999999999,118178.9999999999 484492,118176.9999999999 484499)
34366966_98394;Gemeente Amsterdam;G;Aalsmeerplein;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;4881;-999;146;94;55;0.01;0.01;0.01;0.01;MT2017_113;27-9-2022 09:13;LINESTRING(118144.9999999999 484464,118155 484478,118168.9999999999 484496.9999999999,118176.9999999999 484499)
34366966_98395;Gemeente Amsterdam;G;Hoofddorpweg;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;10099;-999;644;404;295;0.12;0.12;0.12;0.12;MT2017_114;27-9-2022 09:13;LINESTRING(118429 484928,118498.9999999999 484926.9999999999,118525.9999999999 484924.9999999999,118540 484921.9999999999)
34366966_98396;Gemeente Amsterdam;G;Heemstedestraat;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;6286;-999;259;138;10;0.13;0.13;0.13;0.13;MT2017_115;27-9-2022 09:13;LINESTRING(118236 484992.9999999999,118294 484992.9999999999)
34366966_98397;Gemeente Amsterdam;G;Heemstedestraat;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;6544;-999;245;127;10;0.16;0.16;0.16;0.16;MT2017_116;27-9-2022 09:13;LINESTRING(118128 484992,118236 484992.9999999999)
34366966_98398;Gemeente Amsterdam;G;Aalsmeerweg;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;9761;-999;291;188;110;0.01;0.01;0.01;0.01;MT2017_117;27-9-2022 09:13;LINESTRING(118225 484576,118260.9999999999 484633.9999999999,118273 484651.9999999999)
34366966_98403;Gemeente Amsterdam;G;Heemstedestraat;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;6286;-999;259;138;10;0.12;0.12;0.12;0.12;MT2017_119;27-9-2022 09:13;LINESTRING(118294 484992.9999999999,118327 484992.9999999999,118338.9999999999 484992.9999999999,118361 484994.9999999999)
34366966_98413;Gemeente Amsterdam;G;Postjesweg;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;4945;-999;251;118;174;0.17;0.17;0.17;0.17;MT2017_123;27-9-2022 09:13;LINESTRING(118496 486399.9999999999,118555.9999999999 486401)
34366966_98419;Gemeente Amsterdam;G;Jan Evertsenstraat;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;6632;-999;176;94;22;0.18;0.18;0.18;0.18;MT2017_124;27-9-2022 09:13;LINESTRING(118307 487007,118365 487023)
34366966_98439;Gemeente Amsterdam;G;Hoofdweg;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;2887;-999;196;126;100;0.21;0.21;0.21;0.21;MT2017_133;27-9-2022 09:13;LINESTRING(118225 487682.9999999999,118236.9999999999 487643.9999999999,118243.9999999999 487621)
34366966_98440;Gemeente Amsterdam;G;Hoofdweg;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;2887;-999;196;126;100;0.21;0.21;0.21;0.21;MT2017_134;27-9-2022 09:13;LINESTRING(118237.9999999999 487683.9999999999,118254.9999999999 487629.9999999999,118256.9999999999 487624.9999999999)
34366966_98488;Gemeente Amsterdam;G;Transformatorweg;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;9212;-999;272;196;92;0.12;0.12;0.12;0.12;MT2017_141;27-9-2022 09:13;LINESTRING(118242 489454.9999999999,118262 489454.9999999999,118280 489454.9999999999)
34366966_98497;Gemeente Amsterdam;G;Sloterdijkerweg;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;2866;-999;66;42;0;0.02;0.02;0.02;0.02;MT2017_142;27-9-2022 09:13;LINESTRING(118182.9999999999 489095,118186.9999999999 489100,118192.9999999999 489104,118216 489111.9999999999,118230.9999999999 489113,118242 489113,118249 489109)
