identificatie;wegdeelIdentificatie;naamOverheid;naam;bebouwingstype;bomenfactor;toetspuntSoort;grondslag;opmerking;identificatiePandBAG;tijdstipRegistratie;geometrie
34362354_172161;34362354_105459;provincie Noord-Holland;KANAALDIJK,Amsterdam;4;1.0;Alle;0;;;27-9-2022 09:37;POINT(125388.963756795 492877.049753171)
34362354_172162;;provincie Noord-Holland;Slochterweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(125512.176618891 492789.76438809)
37161516_174440;;Hoogheemraadschap Hollands Noorderkwartier;Durgerdammerdijk, Amsterdam;;;Alle;0;;;27-9-2022 09:37;POINT(128036.909741087 487833.533400095)
34362354_176070;;provincie Noord-Holland;Provincialeweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(128296.565438223 480849.031040127)
34362354_176071;;provincie Noord-Holland;Provincialeweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(128269.434561777 480850.968959873)
34362354_176072;;provincie Noord-Holland;Provincialeweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(128305.947588343 480756.161724824)
34362354_176073;;provincie Noord-Holland;Provincialeweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(128280.052411657 480747.838275176)
34362354_176074;;provincie Noord-Holland;Provincialeweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(128352.345917947 480678.879970401)
34362354_176075;;provincie Noord-Holland;Provincialeweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(128333.654082053 480659.120029599)
34362354_176076;;provincie Noord-Holland;Provincialeweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(128423.616652157 480609.616652157)
34362354_176077;;provincie Noord-Holland;Provincialeweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(128404.383347843 480590.383347843)
34362354_176078;;provincie Noord-Holland;Provincialeweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(128495.247178 480541.972446863)
34362354_176079;;provincie Noord-Holland;Provincialeweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(128476.752822 480522.027553137)
34362354_176080;;provincie Noord-Holland;Provincialeweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(128566.405372322 480473.82338887)
34362354_176081;;provincie Noord-Holland;Provincialeweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(128547.594627678 480454.17661113)
34362354_176082;;provincie Noord-Holland;Provincialeweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(128638.400627919 480404.827929188)
34362354_176083;;provincie Noord-Holland;Provincialeweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(128619.599372081 480385.172070812)
34362354_176084;;provincie Noord-Holland;Provincialeweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(128708.997142225 480341.661903708)
34362354_176085;;provincie Noord-Holland;Provincialeweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(128695.002857775 480318.338096292)
34362354_176086;;provincie Noord-Holland;Provincialeweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(128796.841536421 480301.709033106)
34362354_176087;;provincie Noord-Holland;Provincialeweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(128787.158463579 480276.290966894)
34362354_176088;;provincie Noord-Holland;Provincialeweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(128890.195355812 480284.547365865)
34362354_176089;;provincie Noord-Holland;Provincialeweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(128887.804644188 480257.452634135)
34362354_176090;;provincie Noord-Holland;Provincialeweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(128989.544724649 480272.35980441)
34362354_176091;;provincie Noord-Holland;Provincialeweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(128984.455275351 480245.64019559)
34362354_176092;;provincie Noord-Holland;Provincialeweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(129085.699191174 480239.348247543)
34362354_176093;;provincie Noord-Holland;Provincialeweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(129074.300808826 480214.651752457)
34362354_176094;;provincie Noord-Holland;Provincialeweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(129169.965991416 480179.254134886)
34362354_176095;;provincie Noord-Holland;Provincialeweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(129150.034008584 480160.745865114)
34362354_176096;;provincie Noord-Holland;Provincialeweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(129233.498649001 480100.262304632)
34362354_176097;;provincie Noord-Holland;Provincialeweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(129210.501350999 480085.737695368)
34362354_176098;;provincie Noord-Holland;Provincialeweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(129271.140795086 480005.504212023)
34362354_176099;;provincie Noord-Holland;Provincialeweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(129244.859204914 479998.495787977)
34362354_176100;;provincie Noord-Holland;Provincialeweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(129300.709033106 479911.841536421)
34362354_176101;;provincie Noord-Holland;Provincialeweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(129275.290966894 479902.158463579)
37161516_176169;37161516_107742;Hoogheemraadschap Hollands Noorderkwartier;Galggouw, Waterland;4;1.0;Alle;0;;;27-9-2022 09:37;POINT(128118 493139.900000095)
37161516_176173;37161516_107744;Hoogheemraadschap Hollands Noorderkwartier;Galggouw, Waterland;4;1.0;Alle;0;;;27-9-2022 09:37;POINT(128316.132357938 493139.69071176)
37161516_176175;37161516_107745;Hoogheemraadschap Hollands Noorderkwartier;Galggouw, Waterland;4;1.0;Alle;0;;;27-9-2022 09:37;POINT(128414.751363867 493138.692511399)
37161516_176185;37161516_107750;Hoogheemraadschap Hollands Noorderkwartier;BROEKERGOUW, Waterland;4;1.0;Alle;0;;;27-9-2022 09:37;POINT(128082.031981541 493139.56838271)
