identificatie;wegdeelIdentificatie;naamOverheid;naam;bebouwingstype;bomenfactor;toetspuntSoort;grondslag;opmerking;identificatiePandBAG;tijdstipRegistratie;geometrie
34366966_1092370;34366966_776752;Gemeente Amsterdam;R ,;3;1.25;Alle;0;;;27-9-2022 09:38;POINT(118900.651582176 481815.133170724)
34366966_1092372;34366966_1279650;Gemeente Amsterdam;L Oude Haagseweg,Amsterdam;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(116663.64642855 483419.447330866)
34366966_1092372;34366966_1143892;Gemeente Amsterdam;L Oude Haagseweg,Amsterdam;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(116663.64642855 483419.447330866)
34366966_1092376;34366966_776747;Gemeente Amsterdam;R ,;4;1.25;Alle;0;;;27-9-2022 09:38;POINT(118978.148091914 489478.517644057)
34366966_1092376;34366966_776772;Gemeente Amsterdam;R ,;4;1.25;Alle;0;;;27-9-2022 09:38;POINT(118978.148091914 489478.517644057)
34366966_1092377;34366966_103612;Gemeente Amsterdam;L ,;2;1.0;Alle;0;;;27-9-2022 09:38;POINT(123063.247662244 484659.322004092)
34366966_1092377;34366966_103611;Gemeente Amsterdam;L ,;2;1.0;Alle;0;;;27-9-2022 09:38;POINT(123063.247662244 484659.322004092)
34366966_1092378;34366966_1279643;Gemeente Amsterdam;L ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(113202.09570474 485478.62105603)
34366966_1092380;34366966_1143965;Gemeente Amsterdam;L ,;4;1.25;Alle;0;;;27-9-2022 09:38;POINT(117270.885730496 485735.707392525)
34366966_1092382;34366966_776655;Gemeente Amsterdam;R ,;3;1.0;Alle;0;;;27-9-2022 09:38;POINT(117948.737344617 484325.075693672)
34366966_1092382;34366966_776656;Gemeente Amsterdam;R ,;3;1.0;Alle;0;;;27-9-2022 09:38;POINT(117948.737344617 484325.075693672)
34366966_1092383;34366966_1279646;Gemeente Amsterdam;L ,;3;1.25;Alle;0;;;27-9-2022 09:38;POINT(114582.334323799 484992.755868968)
34366966_1092385;34366966_1144872;Gemeente Amsterdam;R ,;4;1.25;Alle;0;;;27-9-2022 09:38;POINT(125041.333002029 481479.902625346)
37161516_1092386;;Hoogheemraadschap Hollands Noorderkwartier;R ,;;;Alle;0;;;27-9-2022 09:38;POINT(127570.924838008 487513.35773212)
34366966_1092387;34366966_1144692;Gemeente Amsterdam;L ,;4;1.25;Alle;0;;;27-9-2022 09:38;POINT(123156.072492542 491169.708129928)
34366966_1092388;34366966_616479;Gemeente Amsterdam;L 0401 BRUG,Amsterdam;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(122112.239497168 484685.68816249)
34366966_1092388;34366966_1354985;Gemeente Amsterdam;L 0401 BRUG,Amsterdam;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(122112.239497168 484685.68816249)
34366966_1092389;34366966_1279355;Gemeente Amsterdam;L ,;4;1.25;Alle;0;;;27-9-2022 09:38;POINT(123191.770951258 484379.735145396)
34366966_1092390;34366966_1279365;Gemeente Amsterdam;R ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(124005.468871126 486008)
34366966_1092390;34366966_1279364;Gemeente Amsterdam;R ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(124005.468871126 486008)
34366966_1092391;34366966_1279766;Gemeente Amsterdam;L ,;3;1.25;Alle;0;;;27-9-2022 09:38;POINT(120374.903260266 488186.035812759)
34366966_1092394;34366966_1144988;Gemeente Amsterdam;R ,;4;1.5;Alle;0;;;27-9-2022 09:38;POINT(126922.202763637 479737.109127897)
34366966_1092395;34366966_100930;Gemeente Amsterdam;L ,;1;1.25;Alle;0;;;27-9-2022 09:38;POINT(121013.007681968 482028.492653606)
34366966_1092396;34366966_1280094;Gemeente Amsterdam;R ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(126507.152555598 486879.425355911)
34366966_1092396;34366966_1280093;Gemeente Amsterdam;R ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(126507.152555598 486879.425355911)
34366966_1092397;34366966_1279878;Gemeente Amsterdam;R ,;3;1.25;Alle;0;;;27-9-2022 09:38;POINT(124958.487438405 479694.712246183)
34366966_1092397;34366966_1279879;Gemeente Amsterdam;R ,;3;1.25;Alle;0;;;27-9-2022 09:38;POINT(124958.487438405 479694.712246183)
34366966_1092398;34366966_1279773;Gemeente Amsterdam;L ,;3;1.25;Alle;0;;;27-9-2022 09:38;POINT(120516.635792015 488545.123542967)
34366966_1092399;34366966_1144888;Gemeente Amsterdam;L Hullenbergweg,Amsterdam;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(125226.514247196 479643.614792226)
34366966_1092400;34366966_1279212;Gemeente Amsterdam;L ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(118744.311730666 485702.910475401)
34366966_1092400;34366966_1279671;Gemeente Amsterdam;L ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(118744.311730666 485702.910475401)
34366966_1092401;34366966_776710;Gemeente Amsterdam;L ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(118521.000764185 485734.170025725)
34366966_1092401;34366966_1144079;Gemeente Amsterdam;L ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(118521.000764185 485734.170025725)
34366966_1092403;34366966_1279506;Gemeente Amsterdam;L ,;1;1.0;Alle;0;;;27-9-2022 09:38;POINT(121579.121044533 490757.643689862)
34366966_1092405;34366966_776925;Gemeente Amsterdam;L ,;2;1.25;Alle;0;;;27-9-2022 09:38;POINT(121049.335052049 484482.382544714)
34366966_1092405;34366966_101540;Gemeente Amsterdam;L ,;2;1.25;Alle;0;;;27-9-2022 09:38;POINT(121049.335052049 484482.382544714)
34366966_1092406;34366966_1279322;Gemeente Amsterdam;L ,;2;1.25;Alle;0;;;27-9-2022 09:38;POINT(122042.512143655 484404.369274225)
34366966_1092406;34366966_1354943;Gemeente Amsterdam;L ,;2;1.25;Alle;0;;;27-9-2022 09:38;POINT(122042.512143655 484404.369274225)
34366966_1092407;34366966_1279887;Gemeente Amsterdam;R ,;4;1.25;Alle;0;;;27-9-2022 09:38;POINT(125496.749761173 481732.698209226)
34366966_1092408;34366966_99976;Gemeente Amsterdam;L ,;3;1.25;Alle;0;;;27-9-2022 09:38;POINT(119834.210636685 487273.901157318)
34366966_1092409;34366966_1279648;Gemeente Amsterdam;L Burgemeester Roellstraat,Amsterdam;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(115826.534310913 487801.928844408)
34366966_1092410;34366966_1354989;Gemeente Amsterdam;R ,;2;1.25;Alle;0;;;27-9-2022 09:38;POINT(116377.875205627 488320.840684463)
34366966_1092410;34366966_1354988;Gemeente Amsterdam;R ,;2;1.25;Alle;0;;;27-9-2022 09:38;POINT(116377.875205627 488320.840684463)
34366966_1092412;34366966_1144009;Gemeente Amsterdam;L Derkinderenstraat,Amsterdam;2;1.0;Alle;0;;;27-9-2022 09:38;POINT(117747.730399905 485970.896598063)
37161516_1092414;37161516_1145025;Hoogheemraadschap Hollands Noorderkwartier;R ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(132385.564601574 491877.441825888)
34366966_1092415;34366966_100496;Gemeente Amsterdam;R ,;3;1.25;Alle;0;;;27-9-2022 09:38;POINT(120246.678811913 486646.337424489)
34366966_1092416;34366966_133273;Gemeente Amsterdam;L ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(120343.798819518 489866.92067127)
34366966_1092417;34366966_1144737;Gemeente Amsterdam;L ,;2;1.0;Alle;0;;;27-9-2022 09:38;POINT(123752.8767433 485996.275092857)
34366966_1092417;34366966_1279856;Gemeente Amsterdam;L ,;2;1.0;Alle;0;;;27-9-2022 09:38;POINT(123752.8767433 485996.275092857)
37161516_1092419;;Hoogheemraadschap Hollands Noorderkwartier;L ,;;;Alle;0;;;27-9-2022 09:38;POINT(130093.858138231 488926.905607174)
34366966_1092421;34366966_1144033;Gemeente Amsterdam;R ,;4;1.25;Alle;0;;;27-9-2022 09:38;POINT(118275.466609178 485687.169260901)
34366966_1092421;34366966_1144034;Gemeente Amsterdam;R ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(118275.466609178 485687.169260901)
34366966_1092424;34366966_1144177;Gemeente Amsterdam;R ,;2;1.0;Alle;0;;;27-9-2022 09:38;POINT(119622.747059194 486577.649852175)
34366966_1092425;34366966_1578562;Gemeente Amsterdam;R,De Boelelaan,Amsterdam;3;1.25;Alle;0;;;27-9-2022 09:38;POINT(119417.466370923 483121.637841282)
34366966_1092425;34366966_1578563;Gemeente Amsterdam;R,De Boelelaan,Amsterdam;3;1.25;Alle;0;;;27-9-2022 09:38;POINT(119417.466370923 483121.637841282)
34366966_1092426;34366966_1279182;Gemeente Amsterdam;R ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(116273.350566344 489373.435662602)
34366966_1092427;34366966_1279705;Gemeente Amsterdam;R ,;4;1.25;Alle;0;;;27-9-2022 09:38;POINT(120832.162014523 491499.446018386)
34366966_1092427;34366966_1279703;Gemeente Amsterdam;R ,;4;1.25;Alle;0;;;27-9-2022 09:38;POINT(120832.162014523 491499.446018386)
37161516_1092428;37161516_1145016;Hoogheemraadschap Hollands Noorderkwartier;R ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(129213.195973916 489856.548389715)
34366966_1092429;34366966_1280556;Gemeente Amsterdam;L ,;4;1.25;Alle;0;;;27-9-2022 09:38;POINT(119836.983475255 489619.245920201)
34366966_1092429;34366966_1280599;Gemeente Amsterdam;L ,;4;1.25;Alle;0;;;27-9-2022 09:38;POINT(119836.983475255 489619.245920201)
34366966_1092430;34366966_1355237;Gemeente Amsterdam;L ,;1;1.25;Alle;0;;;27-9-2022 09:38;POINT(118957.607846895 484296.064882015)
34366966_1092430;34366966_1355235;Gemeente Amsterdam;L ,;1;1.25;Alle;0;;;27-9-2022 09:38;POINT(118957.607846895 484296.064882015)
34366966_1092432;34366966_1144032;Gemeente Amsterdam;R Changiweg,Amsterdam;3;1.0;Alle;0;;;27-9-2022 09:38;POINT(117929.257913286 489094.037566274)
34366966_1092433;34366966_104122;Gemeente Amsterdam;L ,;2;1.0;Alle;0;;;27-9-2022 09:38;POINT(123564.71062064 485866.780418773)
34366966_1092433;34366966_1279362;Gemeente Amsterdam;L ,;2;1.0;Alle;0;;;27-9-2022 09:38;POINT(123564.71062064 485866.780418773)
34366966_1092435;34366966_1279520;Gemeente Amsterdam;R ,;2;1.25;Alle;0;;;27-9-2022 09:38;POINT(126080.893284568 481341.51066861)
34366966_1092435;34366966_1279521;Gemeente Amsterdam;R ,;2;1.25;Alle;0;;;27-9-2022 09:38;POINT(126080.893284568 481341.51066861)
37161516_1092436;;Hoogheemraadschap Hollands Noorderkwartier;R ,;;;Alle;0;;;27-9-2022 09:38;POINT(127796.347032322 487723.445528587)
34366966_1092437;34366966_100511;Gemeente Amsterdam;R ,;2;1.0;Alle;0;;;27-9-2022 09:38;POINT(120585.07999214 487417.892051877)
34366966_1092440;34366966_104129;Gemeente Amsterdam;L ,;2;1.0;Alle;0;;;27-9-2022 09:38;POINT(123697.508480014 485491.555736238)
34366966_1092441;34366966_1144160;Gemeente Amsterdam;R ,;2;1.0;Alle;0;;;27-9-2022 09:38;POINT(119522.498615215 485257.434282942)
34366966_1092443;34366966_1279732;Gemeente Amsterdam;R ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(121945.710182207 490425.959727368)
34366966_1092444;34366966_1279705;Gemeente Amsterdam;R ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(120452.653821973 491798.614936671)
34366966_1092444;34366966_1279703;Gemeente Amsterdam;R ,;4;1.25;Alle;0;;;27-9-2022 09:38;POINT(120452.653821973 491798.614936671)
37161516_1092445;;Hoogheemraadschap Hollands Noorderkwartier;R ,;;;Alle;0;;;27-9-2022 09:38;POINT(130098.887230905 490957.115688069)
34366966_1092446;34366966_1279440;Gemeente Amsterdam;R ,;2;1.25;Alle;0;;;27-9-2022 09:38;POINT(120230.495243365 484397.950459383)
34366966_1092446;34366966_1279439;Gemeente Amsterdam;R ,;2;1.25;Alle;0;;;27-9-2022 09:38;POINT(120230.495243365 484397.950459383)
34366966_1092447;34366966_1279377;Gemeente Amsterdam;R ,;2;1.25;Alle;0;;;27-9-2022 09:38;POINT(124570.531869234 485323.681824001)
34366966_1092448;34366966_1279281;Gemeente Amsterdam;R ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(119981.861464901 486523.359314412)
34366966_1092449;34366966_1279433;Gemeente Amsterdam;L ,;2;1.0;Alle;0;;;27-9-2022 09:38;POINT(118627.944777911 486604.300393021)
34366966_1092452;34366966_101058;Gemeente Amsterdam;L ,;4;1.25;Alle;0;;;27-9-2022 09:38;POINT(120861.358484788 492430.13234923)
34366966_1092453;34366966_1279733;Gemeente Amsterdam;L ,;4;1.25;Alle;0;;;27-9-2022 09:38;POINT(122579.190393029 491694.401925549)
34366966_1092454;34366966_1355228;Gemeente Amsterdam;R ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(126479.943313194 480323.197837269)
34366966_1092454;34366966_1355227;Gemeente Amsterdam;R ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(126479.943313194 480323.197837269)
34366966_1092455;34366966_790824;Gemeente Amsterdam;R ,;4;1.25;Alle;0;;;27-9-2022 09:38;POINT(126584.068542087 488658.682829583)
34366966_1092456;34366966_100917;Gemeente Amsterdam;L ,;1;1.25;Alle;0;;;27-9-2022 09:38;POINT(120963.000229442 482026.992429457)
34366966_1092458;34366966_1144392;Gemeente Amsterdam;L ,;4;1.25;Alle;0;;;27-9-2022 09:38;POINT(121028.993072146 492125.864566638)
34366966_1092459;34366966_1144147;Gemeente Amsterdam;L ,;4;1.25;Alle;0;;;27-9-2022 09:38;POINT(119233.220396636 489563.048887634)
34366966_1092459;34366966_1279681;Gemeente Amsterdam;L ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(119233.220396636 489563.048887634)
37161516_1092461;;Hoogheemraadschap Hollands Noorderkwartier;R ,;;;Alle;0;;;27-9-2022 09:38;POINT(129579.056812918 488603.440338716)
34366966_1092465;34366966_104973;Gemeente Amsterdam;L ,;3;1.0;Alle;0;;;27-9-2022 09:38;POINT(124915.899494937 484156.899494937)
34366966_1092468;34366966_1144392;Gemeente Amsterdam;R ,;4;1.25;Alle;0;;;27-9-2022 09:38;POINT(121121.259409947 492097.794066202)
34366966_1092470;34366966_1144109;Gemeente Amsterdam;L Contactweg,Amsterdam;1;1.0;Alle;0;;;27-9-2022 09:38;POINT(118797.418033684 489985.408500592)
37161516_1092471;;Hoogheemraadschap Hollands Noorderkwartier;R ,;;;Alle;0;;;27-9-2022 09:38;POINT(129404.813303197 489900.035741159)
34366966_1092473;34366966_776602;Gemeente Amsterdam;L ,;4;1.25;Geen;1;Rekenpunt obv toepasbaarheid Havengebied Amsterdam;;27-9-2022 09:38;POINT(117045.496164674 491542.089025887)
34366966_1092474;34366966_1279538;Gemeente Amsterdam;L ,;4;1.25;Alle;0;;;27-9-2022 09:38;POINT(113531.507523039 485718.016016985)
34366966_1092478;34366966_1144173;Gemeente Amsterdam;R ,;2;1.25;Alle;0;;;27-9-2022 09:38;POINT(119539.86855278 485041.614352247)
34366966_1092479;34366966_98973;Gemeente Amsterdam;R ,;2;1.0;Alle;0;;;27-9-2022 09:38;POINT(118556.315977676 484896.905247194)
34366966_1092480;34366966_102081;Gemeente Amsterdam;R ,;2;1.25;Alle;0;;;27-9-2022 09:38;POINT(121690.150965324 484420.433769529)
34366966_1092480;34366966_1355073;Gemeente Amsterdam;R ,;2;1.25;Alle;0;;;27-9-2022 09:38;POINT(121690.150965324 484420.433769529)
34366966_1092485;34366966_776745;Gemeente Amsterdam;L ,;3;1.25;Alle;0;;;27-9-2022 09:38;POINT(118849.055873683 488730.784451031)
34366966_1092486;34366966_1355228;Gemeente Amsterdam;L ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(126527.683612646 480346.162272422)
34366966_1092486;34366966_1355227;Gemeente Amsterdam;L ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(126527.683612646 480346.162272422)
37161516_1092488;;Hoogheemraadschap Hollands Noorderkwartier;R ,;;;Alle;0;;;27-9-2022 09:38;POINT(129449.211127208 489986.073451705)
34366966_1092489;34366966_96563;Gemeente Amsterdam;R ,;2;1.25;Alle;0;;;27-9-2022 09:38;POINT(116369.803559327 487830.836690007)
34366966_1092489;34366966_96561;Gemeente Amsterdam;R ,;2;1.25;Alle;0;;;27-9-2022 09:38;POINT(116369.803559327 487830.836690007)
37161516_1092490;;Hoogheemraadschap Hollands Noorderkwartier;L ,;;;Alle;0;;;27-9-2022 09:38;POINT(130130.937845325 491055.083773007)
37161516_1092491;;Hoogheemraadschap Hollands Noorderkwartier;L ,;;;Alle;0;;;27-9-2022 09:38;POINT(130189.437845325 491133.283773007)
34366966_1092492;34366966_103287;Gemeente Amsterdam;L ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(122627.802377796 490268.176475851)
34366966_1092493;34366966_1279893;Gemeente Amsterdam;R ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(125926.132931815 481208.677391851)
34366966_1092495;34366966_1143949;Gemeente Amsterdam;R ,;3;1.0;Alle;0;;;27-9-2022 09:38;POINT(117237.856765935 484320.450356222)
34366966_1092495;34366966_1143950;Gemeente Amsterdam;R ,;3;1.0;Alle;0;;;27-9-2022 09:38;POINT(117237.856765935 484320.450356222)
37161516_1092496;;Hoogheemraadschap Hollands Noorderkwartier;R ,;;;Alle;0;;;27-9-2022 09:38;POINT(129405.03225348 488501.808221831)
34366966_1092500;34366966_1279918;Gemeente Amsterdam;L Valburgdreef,Amsterdam;4;1.25;Alle;0;;;27-9-2022 09:38;POINT(127594.624614162 479371.361941288)
34366966_1092501;34366966_1504490;Gemeente Amsterdam;L ,;3;1.25;Alle;0;;;27-9-2022 09:38;POINT(122662.924397884 484219.626338097)
34366966_1092502;34366966_1145007;Gemeente Amsterdam;L ,;4;1.25;Geen;1;Geen significante blootstelling ligging op of dicht bij snelweg;;27-9-2022 09:38;POINT(128332.348680006 481040.887979446)
34366966_1092503;34366966_1144376;Gemeente Amsterdam;L ,;3;1.25;Alle;0;;;27-9-2022 09:38;POINT(120837.409107683 484995.489197393)
34366966_1092504;34366966_1279410;Gemeente Amsterdam;R Burgemeester Roellstraat,Amsterdam;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(115900.796993798 487745.078396153)
34366966_1092504;34366966_1279411;Gemeente Amsterdam;R Burgemeester Roellstraat,Amsterdam;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(115900.796993798 487745.078396153)
34366966_1092509;34366966_1279754;Gemeente Amsterdam;L ,;3;1.0;Alle;0;;;27-9-2022 09:38;POINT(119979.909336792 489795.699999809)
34366966_1092510;34366966_1279754;Gemeente Amsterdam;R ,;3;1.0;Alle;0;;;27-9-2022 09:38;POINT(119979.909336792 489766.300000191)
34366966_1092511;34366966_103138;Gemeente Amsterdam;L ,;2;1.0;Alle;0;;;27-9-2022 09:38;POINT(122611.217314506 485362.442659819)
34366966_1092512;34366966_776920;Gemeente Amsterdam;L ,;4;1.25;Alle;0;;;27-9-2022 09:38;POINT(120874.973856742 482382.132635348)
34366966_1092512;34366966_100927;Gemeente Amsterdam;L ,;4;1.25;Alle;0;;;27-9-2022 09:38;POINT(120874.973856742 482382.132635348)
34366966_1092516;34366966_1279650;Gemeente Amsterdam;R Oude Haagseweg,Amsterdam;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(116244.460339451 483371.983032982)
34366966_1092516;34366966_1143892;Gemeente Amsterdam;R Oude Haagseweg,Amsterdam;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(116244.460339451 483371.983032982)
34366966_1092517;34366966_1279419;Gemeente Amsterdam;L Radarweg,Amsterdam;1;1.0;Alle;0;;;27-9-2022 09:38;POINT(117531.368562622 490102.627371714)
34366966_1092520;34366966_1144852;Gemeente Amsterdam;R ,;3;1.25;Alle;0;;;27-9-2022 09:38;POINT(124870.471808417 484822.425952099)
34366966_1092521;34366966_1144852;Gemeente Amsterdam;R ,;3;1.25;Alle;0;;;27-9-2022 09:38;POINT(124941.971808417 484891.425952099)
34366966_1092522;34366966_1279906;Gemeente Amsterdam;L ,;4;1.25;Alle;0;;;27-9-2022 09:38;POINT(126233.330964135 489178.316257236)
34366966_1092522;34366966_1279894;Gemeente Amsterdam;L ,;4;1.25;Alle;0;;;27-9-2022 09:38;POINT(126233.330964135 489178.316257236)
34366966_1092524;34366966_1144872;Gemeente Amsterdam;L ,;4;1.25;Alle;0;;;27-9-2022 09:38;POINT(125116.43639865 481565.37201579)
34366966_1092525;34366966_95293;Gemeente Amsterdam;L ,;4;1.25;Alle;0;;;27-9-2022 09:38;POINT(114549.105963854 486423.450157245)
34366966_1092526;34366966_1144996;Gemeente Amsterdam;R ,;4;1.5;Alle;0;;;27-9-2022 09:38;POINT(127186.846214486 480309.084110054)
34366966_1092529;34366966_1279770;Gemeente Amsterdam;L Apollolaan,Amsterdam;2;1.5;Alle;0;;;27-9-2022 09:38;POINT(120510.951236004 484848.427247085)
34366966_1092530;34366966_1145007;Gemeente Amsterdam;R ,;4;1.5;Alle;0;;;27-9-2022 09:38;POINT(128289.553829508 481231.132629682)
34366966_1092531;34366966_1144079;Gemeente Amsterdam;R ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(118462.139373178 485683.855959583)
34366966_1092531;34366966_776710;Gemeente Amsterdam;R ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(118462.139373178 485683.855959583)
37161516_1092532;37161516_1145016;Hoogheemraadschap Hollands Noorderkwartier;L ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(128517.560190579 489959.832946498)
34366966_1092534;34366966_1144178;Gemeente Amsterdam;R ,;2;1.0;Alle;0;;;27-9-2022 09:38;POINT(119622.750752961 486576.905078071)
34366966_1092536;34366966_790750;Gemeente Amsterdam;L ,;4;1.5;Alle;0;;;27-9-2022 09:38;POINT(124081.472493822 484783.587916818)
34366966_1092537;34366966_1144165;Gemeente Amsterdam;R ,;4;1.25;Alle;0;;;27-9-2022 09:38;POINT(119409.984972684 484983.598881756)
34366966_1092538;34366966_1279176;Gemeente Amsterdam;R ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(118912.879075767 483125.280712538)
34366966_1092538;34366966_1279175;Gemeente Amsterdam;R ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(118912.879075767 483125.280712538)
34366966_1092539;34366966_100373;Gemeente Amsterdam;R ,;1;1.25;Alle;0;;;27-9-2022 09:38;POINT(120359.222952617 481980.001506368)
37161516_1092540;37161516_1145019;Hoogheemraadschap Hollands Noorderkwartier;L ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(128759.271038869 488477.25209528)
34366966_1092543;34366966_1144455;Gemeente Amsterdam;L ,;3;1.0;Alle;0;;;27-9-2022 09:38;POINT(121354.149678228 488860.233178351)
34366966_1092545;34366966_1279433;Gemeente Amsterdam;L ,;2;1.0;Alle;0;;;27-9-2022 09:38;POINT(118605.513567979 486687.013332418)
34366966_1092546;34366966_1279152;Gemeente Amsterdam;R ,;2;1.25;Alle;0;;;27-9-2022 09:38;POINT(115935.845882537 485360.589524167)
34366966_1092547;34366966_102080;Gemeente Amsterdam;L ,;2;1.25;Alle;0;;;27-9-2022 09:38;POINT(121916.022113005 484418.116981656)
34366966_1092547;34366966_1355098;Gemeente Amsterdam;L ,;2;1.25;Alle;0;;;27-9-2022 09:38;POINT(121916.022113005 484418.116981656)
34366966_1092548;34366966_1143838;Gemeente Amsterdam;R ,;4;1.25;Alle;0;;;27-9-2022 09:38;POINT(116212.177943399 487290.839466367)
34366966_1092549;34366966_99501;Gemeente Amsterdam;L ,;2;1.0;Alle;0;;;27-9-2022 09:38;POINT(119130.846980279 487199.674273727)
34366966_1092550;34366966_790835;Gemeente Amsterdam;L ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(127798.139772618 480598.281519935)
34366966_1092551;34366966_1143851;Gemeente Amsterdam;L ,;3;1.25;Alle;0;;;27-9-2022 09:38;POINT(115781.477232194 485602.246957324)
34366966_1092553;34366966_100540;Gemeente Amsterdam;L ,;4;1.25;Alle;0;;;27-9-2022 09:38;POINT(120240.479465822 487839.459956627)
34366966_1092554;34366966_1144759;Gemeente Amsterdam;R Waddenweg,Amsterdam;4;1.25;Alle;0;;;27-9-2022 09:38;POINT(123949.89958035 490008.307747202)
34366966_1092554;34366966_1144761;Gemeente Amsterdam;R Waddenweg,Amsterdam;4;1.25;Alle;0;;;27-9-2022 09:38;POINT(123949.89958035 490008.307747202)
37161516_1092555;;Hoogheemraadschap Hollands Noorderkwartier;L ,;;;Alle;0;;;27-9-2022 09:38;POINT(129786.6997608 490580.535585355)
34366966_1092557;34366966_1279596;Gemeente Amsterdam;R ,;1;1.0;Alle;0;;;27-9-2022 09:38;POINT(118401.996027457 487088.60296104)
34366966_1092557;34366966_1279595;Gemeente Amsterdam;R ,;2;1.0;Alle;0;;;27-9-2022 09:38;POINT(118401.996027457 487088.60296104)
34366966_1092559;34366966_1144138;Gemeente Amsterdam;L Willem de Zwijgerlaan,Amsterdam;2;1.25;Alle;0;;;27-9-2022 09:38;POINT(119094.980391031 488266.944121192)
37161516_1092561;;Hoogheemraadschap Hollands Noorderkwartier;L ,;;;Alle;0;;;27-9-2022 09:38;POINT(130014.952882564 490897.461643826)
34366966_1092562;34366966_98393;Gemeente Amsterdam;R ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(118185.068203738 484470.46998471)
34366966_1092562;34366966_98394;Gemeente Amsterdam;R ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(118185.068203738 484470.46998471)
34366966_1092567;34366966_1280080;Gemeente Amsterdam;L ,;3;1.0;Alle;0;;;27-9-2022 09:38;POINT(125204.942256907 478653.109629524)
34366966_1092567;34366966_1355124;Gemeente Amsterdam;L ,;3;1.0;Alle;0;;;27-9-2022 09:38;POINT(125204.942256907 478653.109629524)
34366966_1092568;34366966_98024;Gemeente Amsterdam;L ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(117751.281016478 489492.577004428)
34366966_1092568;34366966_1143984;Gemeente Amsterdam;L ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(117751.281016478 489492.577004428)
34366966_1092569;34366966_1144375;Gemeente Amsterdam;R ,;3;1.25;Alle;0;;;27-9-2022 09:38;POINT(120865.863379626 484820.799204487)
34366966_1092570;34366966_104117;Gemeente Amsterdam;L ,;2;1.0;Alle;0;;;27-9-2022 09:38;POINT(123710.469348105 485456.529030186)
34366966_1092571;34366966_1280097;Gemeente Amsterdam;R ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(127287.545124212 486249.587034876)
34366966_1092571;34366966_1280098;Gemeente Amsterdam;R ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(127287.545124212 486249.587034876)
34366966_1092572;34366966_104986;Gemeente Amsterdam;L ,;3;1.25;Alle;0;;;27-9-2022 09:38;POINT(124505.567319086 485173.489602932)
34366966_1092573;34366966_1143921;Gemeente Amsterdam;R Louwesweg,Amsterdam;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(116609.33771343 484444.411964493)
34366966_1092574;34366966_1279880;Gemeente Amsterdam;R ,;1;1.0;Alle;0;;;27-9-2022 09:38;POINT(125212.601049727 478697.865395805)
34366966_1092574;34366966_1144879;Gemeente Amsterdam;R ,;1;1.0;Alle;0;;;27-9-2022 09:38;POINT(125212.601049727 478697.865395805)
