identificatie;naamOverheid;typeOverheid;straatnaam;wegnummer;rekenmethode;wegsoort;tunnelfactor;hoogte;taludSoort;overdrachtLinksSoort;overdrachtLinksAfstand;overdrachtLinksHoogte;overdrachtRechtsSoort;overdrachtRechtsAfstand;overdrachtRechtsHoogte;maximumsnelheid;maximumsnelheidDynamisch;intensiteitLichtVerkeer;intensiteitLichtVerkeerDynamisch;intensiteitMiddelzwaarVerkeer;intensiteitZwaarVerkeer;intensiteitBusVerkeer;stagnatiefactorLichtVerkeer;stagnatiefactorMiddelzwaarVerkeer;stagnatiefactorZwaarVerkeer;stagnatiefactorBusVerkeer;opmerking;tijdstipRegistratie;geometrie
59734817_35146;Gemeente Leeuwarden;G;Prof Mr P S Gerbrandyweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;7750;-999;170;145;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183143 580741,183185 580745,183232 580745)
59734817_35147;Gemeente Leeuwarden;G;Prof Mr P S Gerbrandyweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;7750;-999;170;145;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183231 580737,183274 580737)
59734817_35148;Gemeente Leeuwarden;G;Prof Mr P S Gerbrandyweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;7750;-999;179;145;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183143 580741,183185 580738,183231 580737)
59734817_35415;Gemeente Leeuwarden;G;Drachtsterweg;;SRM2;92;1.0000;0;;;-999;-999;;-999;-999;50;-999;14471;-999;350;380;-999;0.0700;0.0700;0.0700;-999;;27-9-2022 09:06:35;LINESTRING(183950 577338,183974 577298,184005 577231)
59734817_35416;Gemeente Leeuwarden;G;Drachtsterweg;;SRM2;92;1.0000;0;;;-999;-999;;-999;-999;50;-999;14471;-999;350;380;-999;0.0700;0.0700;0.0700;-999;;27-9-2022 09:06:35;LINESTRING(184005 577231,184018 577203,184044 577144,184053 577120)
59734817_35417;Gemeente Leeuwarden;G;Drachtsterweg;;SRM2;92;1.0000;0;;;-999;-999;;-999;-999;100;-999;14471;-999;350;380;-999;0.0700;0.0700;0.0700;-999;;27-9-2022 09:06:35;LINESTRING(183950 577338,183964 577294,183982 577246,183991 577224)
59734817_35418;Gemeente Leeuwarden;G;Drachtsterweg;;SRM2;92;1.0000;0;;;-999;-999;;-999;-999;100;-999;14471;-999;350;380;-999;0.0700;0.0700;0.0700;-999;;27-9-2022 09:06:35;LINESTRING(183991 577224,184025 577139,184035 577112)
59734817_35419;Gemeente Leeuwarden;G;Drachtsterweg;;SRM1;d;1.0000;-999;;;-999;-999;;-999;-999;50;-999;28942;-999;700;760;0;0.0700;0.0700;0.0700;0.0000;;27-9-2022 09:06:35;LINESTRING(183767 577964,183771 577946,183791 577874)
59734817_35420;Gemeente Leeuwarden;G;Drachtsterweg;;SRM1;d;1.0000;-999;;;-999;-999;;-999;-999;50;-999;28942;-999;700;760;0;0.0700;0.0700;0.0700;0.0000;;27-9-2022 09:06:35;LINESTRING(183791 577874,183799 577844,183816 577784)
59734817_35421;Gemeente Leeuwarden;G;Drachtsterweg;;SRM1;d;1.0000;-999;;;-999;-999;;-999;-999;50;-999;28942;-999;700;760;0;0.0700;0.0700;0.0700;0.0000;;27-9-2022 09:06:35;LINESTRING(183816 577784,183840 577694)
59734817_35422;Gemeente Leeuwarden;G;Drachtsterweg;;SRM1;d;1.0000;-999;;;-999;-999;;-999;-999;50;-999;28942;-999;700;760;0;0.0700;0.0700;0.0700;0.0000;;27-9-2022 09:06:35;LINESTRING(183840 577694,183865 577605,183865 577604)
59734817_35423;Gemeente Leeuwarden;G;Drachtsterweg;;SRM1;d;1.0000;-999;;;-999;-999;;-999;-999;50;-999;28942;-999;700;760;0;0.0700;0.0700;0.0700;0.0000;;27-9-2022 09:06:35;LINESTRING(183865 577604,183890 577515)
59734817_35424;Gemeente Leeuwarden;G;Drachtsterweg;;SRM1;d;1.0000;-999;;;-999;-999;;-999;-999;50;-999;28942;-999;700;760;0;0.0700;0.0700;0.0700;0.0000;;27-9-2022 09:06:35;LINESTRING(183890 577515,183901 577476,183919 577426)
59734817_35425;Gemeente Leeuwarden;G;Drachtsterweg;;SRM1;d;1.0000;-999;;;-999;-999;;-999;-999;50;-999;28942;-999;700;760;0;0.0700;0.0700;0.0700;0.0000;;27-9-2022 09:06:35;LINESTRING(183919 577426,183950 577338)
59734817_35426;Gemeente Leeuwarden;G;Drachtsterweg;;SRM1;d;1.0000;-999;;;-999;-999;;-999;-999;50;-999;14471;-999;350;380;0;0.0700;0.0700;0.0700;0.0000;;27-9-2022 09:06:35;LINESTRING(183760 578077,183760 578053,183761 577999,183767 577964)
59734817_35427;Gemeente Leeuwarden;G;Drachtsterweg;;SRM1;d;1.0000;-999;;;-999;-999;;-999;-999;50;-999;14471;-999;350;380;0;0.0700;0.0700;0.0700;0.0000;;27-9-2022 09:06:35;LINESTRING(183759 578170,183760 578157,183760 578122,183760 578101,183760 578077)
59734817_35428;Gemeente Leeuwarden;G;Drachtsterweg;;SRM1;d;1.0000;-999;;;-999;-999;;-999;-999;50;-999;14471;-999;350;380;0;0.0700;0.0700;0.0700;0.0000;;27-9-2022 09:06:35;LINESTRING(183735 578066,183737 578062,183739 578059,183767 577964)
59734817_35429;Gemeente Leeuwarden;G;Aldlansdyk;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;70;-999;10301;-999;330;412;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183759 578170,183770 578173,183777 578176,183785 578181,183821 578205,183838 578216,183842 578218)
59734817_35430;Gemeente Leeuwarden;G;Aldlansdyk;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;70;-999;10301;-999;330;412;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183842 578218,183853 578224,183881 578235,183932 578250)
59734817_35431;Gemeente Leeuwarden;G;Aldlansdyk;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;70;-999;10301;-999;330;412;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183932 578250,183956 578257,184025 578275)
59734817_35432;Gemeente Leeuwarden;G;Aldlansdyk;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;70;-999;10301;-999;330;412;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(184025 578275,184118 578300)
59734817_35433;Gemeente Leeuwarden;G;Aldlansdyk;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;70;-999;10301;-999;330;412;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(184118 578300,184153 578309,184210 578326)
59734817_35434;Gemeente Leeuwarden;G;Aldlansdyk;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;10301;-999;330;412;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183735 578243,183740 578244,183755 578246,183813 578244)
59734817_35435;Gemeente Leeuwarden;G;Aldlansdyk;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;10301;-999;330;412;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183813 578244,183813 578244,183860 578245,183881 578247,183890 578249)
59734817_35436;Gemeente Leeuwarden;G;Aldlansdyk;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;70;-999;10301;-999;330;412;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183890 578249,183996 578278)
59734817_35437;Gemeente Leeuwarden;G;Aldlansdyk;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;70;-999;10301;-999;330;412;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183996 578278,184090 578304,184101 578307,184101 578307)
59734817_35438;Gemeente Leeuwarden;G;Aldlansdyk;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;70;-999;10301;-999;330;412;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(184101 578307,184177 578328,184207 578337)
59734817_35439;Gemeente Leeuwarden;G;Drachtsterweg;;SRM1;d;1.0000;-999;;;-999;-999;;-999;-999;50;-999;14471;-999;350;380;0;0.1500;0.1500;0.1500;0.0000;;27-9-2022 09:06:35;LINESTRING(183683 578149,183685 578137,183695 578125,183701 578117)
59734817_35440;Gemeente Leeuwarden;G;Drachtsterweg;;SRM1;d;1.0000;-999;;;-999;-999;;-999;-999;50;-999;14471;-999;350;380;0;0.0700;0.0700;0.0700;0.0000;;27-9-2022 09:06:35;LINESTRING(183701 578117,183717 578097,183729 578076,183735 578066)
59734817_35441;Gemeente Leeuwarden;G;Pieter Stuyvesantweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;13592;-999;209;111;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183724 578825,183727 578846)
59734817_35442;Gemeente Leeuwarden;G;Pieter Stuyvesantweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;13592;-999;209;111;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183727 578846,183742 578920)
59734817_35443;Gemeente Leeuwarden;G;Pieter Stuyvesantweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;13592;-999;209;111;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183742 578920,183758 579008,183763 579038)
59734817_35444;Gemeente Leeuwarden;G;Drachtsterweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;14062;-999;210;112;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183669 578555,183690 578658)
59734817_35445;Gemeente Leeuwarden;G;Drachtsterweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;14062;-999;210;112;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183690 578658,183711 578761)
59734817_35446;Gemeente Leeuwarden;G;Drachtsterweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;14062;-999;210;112;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183664 578529,183669 578555)
59734817_35447;Gemeente Leeuwarden;G;Drachtsterweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;7142;-999;110;58;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183662 578496,183659 578449,183659 578434,183661 578419,183664 578407)
59734817_35448;Gemeente Leeuwarden;G;Drachtsterweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;7142;-999;110;58;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183664 578407,183667 578398,183700 578325)
59734817_35449;Gemeente Leeuwarden;G;Drachtsterweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;7142;-999;110;58;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183700 578325,183720 578281,183735 578243)
59734817_35450;Gemeente Leeuwarden;G;Drachtsterweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;7142;-999;110;58;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183655 578497,183649 578437,183649 578417,183649 578405)
59734817_35451;Gemeente Leeuwarden;G;Drachtsterweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;7142;-999;110;58;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183649 578405,183649 578383,183650 578347,183653 578314)
59734817_35452;Gemeente Leeuwarden;G;Drachtsterweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;7142;-999;110;58;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183653 578314,183654 578295,183661 578236,183665 578223)
59734817_35453;Gemeente Leeuwarden;G;Drachtsterweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;14062;-999;210;112;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183714 578781,183718 578801)
59734817_35454;Gemeente Leeuwarden;G;Drachtsterweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;14062;-999;210;112;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183711 578761,183714 578781)
59734817_35455;Gemeente Leeuwarden;G;Pieter Stuyvesantweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;13592;-999;209;111;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183763 579038,183766 579055,183770 579071)
59734817_35456;Gemeente Leeuwarden;G;Pieter Stuyvesantweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;6942;-999;106;57;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183740 579275,183759 579224,183764 579195,183765 579186)
59734817_35457;Gemeente Leeuwarden;G;Pieter Stuyvesantweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;6942;-999;106;57;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183765 579186,183776 579093)
59734817_35458;Gemeente Leeuwarden;G;Pieter Stuyvesantweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;6942;-999;106;57;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183728 579273,183751 579219,183754 579207,183757 579185)
59734817_35459;Gemeente Leeuwarden;G;Pieter Stuyvesantweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;6942;-999;106;57;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183757 579185,183770 579092)
59734817_35460;Gemeente Leeuwarden;G;Julianastraat;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;6942;-999;106;57;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183728 579273,183724 579282,183716 579341,183718 579362)
59734817_35461;Gemeente Leeuwarden;G;Julianastraat;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;6942;-999;106;57;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183718 579362,183718 579364,183714 579395,183714 579404,183714 579414,183719 579428,183729 579449)
59734817_35462;Gemeente Leeuwarden;G;Julianastraat;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;6942;-999;106;57;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183735 579446,183727 579429,183722 579412,183721 579405,183725 579369,183725 579361)
59734817_35463;Gemeente Leeuwarden;G;Julianastraat;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;6942;-999;106;57;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183725 579361,183725 579356,183736 579286,183740 579275)
59734817_35464;Gemeente Leeuwarden;G;Franklinstraat;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;15163;-999;170;155;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183739 579470,183740 579478,183740 579480,183742 579489,183755 579521,183777 579565)
59734817_35465;Gemeente Leeuwarden;G;Zuidvliet;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;7216;-999;171;84;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183555 579659,183627 579646,183659 579642,183674 579641)
59734817_35466;Gemeente Leeuwarden;G;Zuidvliet;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;7216;-999;171;84;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183506 579669,183544 579661,183555 579659)
59734817_35467;Gemeente Leeuwarden;G;Zuidvliet;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;7216;-999;171;84;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183674 579641,183693 579639,183733 579638,183737 579638)
59734817_35468;Gemeente Leeuwarden;G;Zuidvliet;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;7216;-999;171;84;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183737 579638,183774 579639)
59734817_35469;Gemeente Leeuwarden;G;Archipelweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;7628;-999;133;49;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183786 579651,183789 579681)
59734817_35470;Gemeente Leeuwarden;G;Archipelweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;7628;-999;133;49;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183789 579681,183789 579691,183793 579708,183810 579735,183822 579754)
59734817_35471;Gemeente Leeuwarden;G;Archipelweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;7628;-999;133;49;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183822 579754,183861 579815,183862 579818,183866 579824)
59734817_35472;Gemeente Leeuwarden;G;Archipelweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;7628;-999;133;49;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183866 579824,183882 579847)
59734817_35473;Gemeente Leeuwarden;G;Archipelweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;7628;-999;133;49;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183893 579869,183907 579893,183909 579901,183914 579918)
59734817_35474;Gemeente Leeuwarden;G;Franklinstraat;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;15163;-999;170;155;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183784 579581,183786 579591,183787 579609,183785 579627)
59734817_35475;Gemeente Leeuwarden;G;Franklinstraat;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;15163;-999;170;155;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183777 579565,183783 579578,183784 579581)
59734817_35476;Gemeente Leeuwarden;G;Archipelweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;10792;-999;183;62;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183716 580460,183720 580454)
59734817_35477;Gemeente Leeuwarden;G;Archipelweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;10792;-999;183;62;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183720 580454,183734 580436)
59734817_35478;Gemeente Leeuwarden;G;Archipelweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;10792;-999;183;62;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183734 580436,183762 580396)
59734817_35479;Gemeente Leeuwarden;G;Archipelweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;7628;-999;195;46;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183913 580112,183915 580092,183920 580033,183921 580015)
59734817_35480;Gemeente Leeuwarden;G;Archipelweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;7628;-999;133;49;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183921 580015,183922 579990,183922 579976,183919 579944,183916 579924,183914 579918)
59734817_35481;Gemeente Leeuwarden;G;Archipelweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;5396;-999;92;31;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183832 580294,183843 580285,183862 580257)
59734817_35482;Gemeente Leeuwarden;G;Archipelweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;10792;-999;183;62;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183791 580354,183793 580351,183794 580348,183832 580294)
59734817_35483;Gemeente Leeuwarden;G;Archipelweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;10792;-999;183;62;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183762 580396,183791 580354)
59734817_35484;Gemeente Leeuwarden;G;Archipelweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;3814;-999;67;25;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183886 580207,183893 580193,183899 580180,183904 580157,183909 580147)
59734817_35485;Gemeente Leeuwarden;G;Archipelweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;7628;-999;133;49;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183909 580147,183913 580112)
59734817_35486;Gemeente Leeuwarden;G;Archipelweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;3814;-999;67;25;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183893 580210,183899 580196,183905 580179,183910 580161,183909 580147)
59734817_35487;Gemeente Leeuwarden;G;Archipelweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;5396;-999;92;31;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183862 580244,183875 580224)
59734817_35488;Gemeente Leeuwarden;G;Archipelweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;4516;-999;97;23;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183832 580294,183838 580281,183862 580244)
59734817_35489;Gemeente Leeuwarden;G;Archipelweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;5396;-999;92;31;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183862 580257,183882 580229)
59734817_35490;Gemeente Leeuwarden;G;Archipelweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;10792;-999;183;62;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183538 580669,183570 580640)
59734817_35491;Gemeente Leeuwarden;G;Archipelweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;10792;-999;183;62;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183570 580640,183591 580621)
59734817_35492;Gemeente Leeuwarden;G;Archipelweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;10792;-999;183;62;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183591 580621,183622 580590,183657 580543)
59734817_35493;Gemeente Leeuwarden;G;Archipelweg;;SRM1;c;1.0000;-999;;;-999;-999;;-999;-999;50;-999;10792;-999;183;62;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:35;LINESTRING(183657 580543,183670 580525,183716 580460)
59734817_35700;Gemeente Leeuwarden;G;Drachtsterweg;;SRM2;92;1.0000;0;;;-999;-999;;-999;-999;100;-999;11650;-999;513;350;-999;0.0700;0.0700;0.0700;-999;;27-9-2022 09:06:35;LINESTRING(184053 577120,184090 577026)
59734817_35701;Gemeente Leeuwarden;G;Drachtsterweg;;SRM2;92;1.0000;0;;;-999;-999;;-999;-999;100;-999;11650;-999;513;350;-999;0.0700;0.0700;0.0700;-999;;27-9-2022 09:06:35;LINESTRING(184090 577026,184091 577024,184127 576932)
59734817_35702;Gemeente Leeuwarden;G;Drachtsterweg;;SRM2;92;1.0000;0;;;-999;-999;;-999;-999;100;-999;11650;-999;513;350;-999;0.0700;0.0700;0.0700;-999;;27-9-2022 09:06:35;LINESTRING(184127 576932,184163 576838)
59734817_35703;Gemeente Leeuwarden;G;Drachtsterweg;;SRM2;92;1.0000;0;;;-999;-999;;-999;-999;100;-999;11650;-999;513;350;-999;0.0700;0.0700;0.0700;-999;;27-9-2022 09:06:35;LINESTRING(184163 576838,184200 576744)
59734817_35704;Gemeente Leeuwarden;G;Drachtsterweg;;SRM2;92;1.0000;0;;;-999;-999;;-999;-999;100;-999;11650;-999;513;350;-999;0.0700;0.0700;0.0700;-999;;27-9-2022 09:06:35;LINESTRING(184200 576744,184237 576650)
59734817_35705;Gemeente Leeuwarden;G;Drachtsterweg;;SRM2;92;1.0000;0;;;-999;-999;;-999;-999;100;-999;11650;-999;513;350;-999;0.0700;0.0700;0.0700;-999;;27-9-2022 09:06:35;LINESTRING(184237 576650,184266 576575,184274 576556)
59734817_35706;Gemeente Leeuwarden;G;Drachtsterweg;;SRM2;92;1.0000;0;;;-999;-999;;-999;-999;100;-999;11650;-999;513;350;-999;0.0700;0.0700;0.0700;-999;;27-9-2022 09:06:35;LINESTRING(184274 576556,184285 576527,184310 576462)
59734817_35707;Gemeente Leeuwarden;G;Drachtsterweg;;SRM2;92;1.0000;0;;;-999;-999;;-999;-999;100;-999;11650;-999;513;350;-999;0.0700;0.0700;0.0700;-999;;27-9-2022 09:06:35;LINESTRING(184310 576462,184347 576368)
59734817_35708;Gemeente Leeuwarden;G;Drachtsterweg;;SRM2;92;1.0000;0;;;-999;-999;;-999;-999;100;-999;11650;-999;513;350;-999;0.0700;0.0700;0.0700;-999;;27-9-2022 09:06:35;LINESTRING(184347 576368,184384 576274)
59734817_35709;Gemeente Leeuwarden;G;Drachtsterweg;;SRM2;92;1.0000;0;;;-999;-999;;-999;-999;100;-999;11650;-999;513;350;-999;0.0700;0.0700;0.0700;-999;;27-9-2022 09:06:35;LINESTRING(184384 576274,184415 576195,184421 576180)
59734817_35710;Gemeente Leeuwarden;G;Drachtsterweg;;SRM2;92;1.0000;0;;;-999;-999;;-999;-999;100;-999;11650;-999;513;350;-999;0.0700;0.0700;0.0700;-999;;27-9-2022 09:06:35;LINESTRING(184421 576180,184444 576122,184458 576086)
59734817_35711;Gemeente Leeuwarden;G;Drachtsterweg;;SRM2;92;1.0000;0;;;-999;-999;;-999;-999;100;-999;11650;-999;513;350;-999;0.0700;0.0700;0.0700;-999;;27-9-2022 09:06:35;LINESTRING(184458 576086,184495 575992)
59734817_35712;Gemeente Leeuwarden;G;Drachtsterweg;;SRM2;92;1.0000;0;;;-999;-999;;-999;-999;100;-999;11650;-999;513;350;-999;0.0700;0.0700;0.0700;-999;;27-9-2022 09:06:35;LINESTRING(184495 575992,184508 575959,184532 575902,184533 575899)
59734817_35713;Gemeente Leeuwarden;G;Drachtsterweg;;SRM2;92;1.0000;0;;;-999;-999;;-999;-999;100;-999;11650;-999;513;350;-999;0.0700;0.0700;0.0700;-999;;27-9-2022 09:06:35;LINESTRING(184533 575899,184570 575805)
59734817_35714;Gemeente Leeuwarden;G;Drachtsterweg;;SRM2;92;1.0000;0;;;-999;-999;;-999;-999;100;-999;11650;-999;513;350;-999;0.0700;0.0700;0.0700;-999;;27-9-2022 09:06:35;LINESTRING(184035 577112,184054 577060,184071 577018)
