segment_id;nwb_weg_id;nwb_versie;begin_pos;eind_pos;overheidid;overheid;straatnaam;straatnr;wegbeheer;hoogte;x;y;wegtype;snelheid;tun_factor;boom_fact;maxsnelh_p;maxs_p_dyn;maxsnelh_v;a_rand_l;a_gevel_l;bebdicht_l;a_toepas_l;a_scherm_l;s_hoogte_l;a_rand_r;a_gevel_r;bebdicht_r;a_toepas_r;a_scherm_r;s_hoogte_r;stagf_lv;int_lv;int_lv_dyn;stagf_mv;int_mv;stagf_zv;int_zv;stagf_bv;int_bv;opmerking;gewijzigd;geomet_wkt;actie
121379;308321032;801;0.668071;1;307;Amersfoort;Leusderweg;;G;0;154247.00;460463.00;92;c;1;1;80;;80;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;3445;0;0.000000;173;0.000000;113;0.000000;0;;27-05-2020 11:01:29;LINESTRING(154206 460472,154228 460467,154255 460461,154289 460453);u
121380;308321035;801;0;0.502841;307;Amersfoort;Leusderweg;;G;0;154176.00;460834.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.050000;9526;0;0.050000;394;0.050000;92;0.000000;0;;04-06-2020 13:15:25;LINESTRING(154164 460792,154165 460797,154168 460810,154171 460822,154180 460846,154189 460867,154193 460875);u
121381;308321035;801;0.502841;1;307;Amersfoort;Leusderweg;;G;0;154211.00;460914.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.050000;9526;0;0.050000;394;0.050000;92;0.000000;0;;04-06-2020 13:15:37;LINESTRING(154193 460875,154209 460909,154230 460954);u
121382;308321036;801;0;1;307;Amersfoort;Leusderweg;;G;0;154160.00;460762.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.050000;9526;0;0.050000;394;0.050000;92;0.000000;0;;04-06-2020 13:15:12;LINESTRING(154153 460733,154156 460742,154158 460752,154164 460792);u
121383;308321042;801;0.00142682;1;307;Amersfoort;Leusderweg;;G;0;154142.00;460680.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.050000;9526;0;0.050000;394;0.050000;92;0.000000;0;;04-06-2020 13:14:56;LINESTRING(154128 460628,154134 460648,154152 460720,154153 460733);u
121384;308321043;801;0;1;20010;Utrecht;;;P;0;154119.00;460609.00;0;b;1;1;80;;80;6.30;;;;0.00;0.00;6.30;;;;0.00;0.00;0.398800;0;0;0.398800;0;0.398800;0;0.000000;0;;29-05-2020 11:40:27;LINESTRING(154107 460591,154112 460599,154120 460611,154125 460619,154128 460628);u
121385;308322021;801;0;1;307;Amersfoort;Leusderweg;;G;0;154388.00;461407.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;7881;0;0.000000;326;0.000000;76;0.000000;0;;27-05-2020 11:01:30;LINESTRING(154372 461376,154375 461383,154405 461437);u
121386;308322045;801;0;1;307;Amersfoort;Leusderweg;;G;0;154311.00;461223.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;9526;0;0.000000;394;0.000000;92;0.000000;0;;27-05-2020 11:01:30;LINESTRING(154300 461182,154318 461253,154321 461265);u
121387;308322050;801;0.00110745;1;307;Amersfoort;Leusderweg;;G;0;154351.00;461332.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;7881;0;0.000000;326;0.000000;76;0.000000;0;;27-05-2020 11:01:30;LINESTRING(154331 461287,154342 461313,154367 461367,154372 461376);u
121388;308322051;801;0;1;307;Amersfoort;Leusderweg;;G;0;154434.00;461493.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;7881;0;0.000000;326;0.000000;76;0.000000;0;;27-05-2020 11:01:30;LINESTRING(154405 461437,154415 461457,154420 461467,154463 461549);u
121389;308323024;801;0;1;307;Amersfoort;Leusderweg;;G;0;154511.00;461639.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;7881;0;0.000000;326;0.000000;76;0.000000;0;;27-05-2020 11:01:30;LINESTRING(154498 461610,154503 461618,154523 461669);u
121390;308323052;801;0;1;307;Amersfoort;Leusderweg;;G;0;154467.00;461556.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;7881;0;0.000000;326;0.000000;76;0.000000;0;;27-05-2020 11:01:30;LINESTRING(154463 461549,154470 461562);u
121391;308323053;801;0;1;307;Amersfoort;Leusderweg;;G;0;154484.00;461586.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;7881;0;0.000000;326;0.000000;76;0.000000;0;;27-05-2020 11:01:30;LINESTRING(154470 461562,154498 461610);u
121392;308324011;801;0;1;307;Amersfoort;Utrechtseweg;;G;0;154425.00;462436.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;5811;0;0.000000;237;0.000000;37;0.000000;0;;27-05-2020 11:01:30;LINESTRING(154387 462418,154419 462433,154453 462454,154460 462459);u
121393;308324012;801;0;1;307;Amersfoort;Utrechtseweg;;G;0;154353.00;462403.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;5811;0;0.000000;237;0.000000;37;0.000000;0;;27-05-2020 11:01:30;LINESTRING(154320 462387,154325 462390,154370 462411,154387 462418);u
121394;308324013;801;0;1;307;Amersfoort;Utrechtseweg;;G;0;154276.00;462368.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;5811;0;0.000000;237;0.000000;37;0.000000;0;;27-05-2020 11:01:30;LINESTRING(154232 462349,154320 462387);u
121395;308324014;801;0;1;307;Amersfoort;Utrechtseweg;;G;0;154164.00;462321.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;5811;0;0.000000;237;0.000000;37;0.000000;0;;27-05-2020 11:01:30;LINESTRING(154097 462291,154111 462301,154130 462308,154225 462346,154232 462349);u
121396;308324015;801;0;1;307;Amersfoort;Utrechtseweg;;G;0;154088.00;462284.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;3476;0;0.000000;142;0.000000;22;0.000000;0;;27-05-2020 11:01:30;LINESTRING(154081 462276,154090 462286,154097 462291);u
121397;308324016;801;0;1;307;Amersfoort;Utrechtseweg;;G;0;154487.00;462479.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;5811;0;0.000000;237;0.000000;37;0.000000;0;;27-05-2020 11:01:30;LINESTRING(154460 462459,154472 462468,154495 462485,154506 462494,154513 462500);u
121398;308325005;801;0;1;307;Amersfoort;Stationsstraat;;G;0;154358.00;462785.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;8394;0;0.000000;353;0.000000;88;0.000000;0;;27-05-2020 11:01:30;LINESTRING(154351 462781,154364 462788);u
121399;308325006;801;0.0013151;0.498256;307;Amersfoort;Stationsstraat;;G;0;154246.00;462740.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;8394;0;0.000000;353;0.000000;88;0.000000;0;;27-05-2020 11:01:30;LINESTRING(154208 462740,154279 462739,154284 462742);u
121400;308325006;801;0.498256;1;307;Amersfoort;Stationsstraat;;G;0;154318.00;462760.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;8394;0;0.000000;353;0.000000;88;0.000000;0;;27-05-2020 11:01:30;LINESTRING(154284 462742,154291 462746,154316 462759,154351 462781);u
121401;308325007;801;0;1;307;Amersfoort;Stationsstraat;;G;0;154482.00;462862.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;7749;0;0.000000;326;0.000000;82;0.000000;0;;27-05-2020 11:01:30;LINESTRING(154419 462822,154506 462878,154546 462900);u
121402;308325010;801;0;1;307;Amersfoort;Stationsstraat;;G;0;154392.00;462805.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;8394;0;0.000000;353;0.000000;88;0.000000;0;;27-05-2020 11:01:30;LINESTRING(154364 462788,154419 462822);u
121403;308325016;801;0;1;307;Amersfoort;Stationsplein;;G;0;154172.00;462741.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;8394;0;0.000000;353;0.000000;88;0.000000;0;;27-05-2020 11:01:31;LINESTRING(154136 462742,154208 462740);u
121404;308325017;801;0;1;307;Amersfoort;Stationsplein;;G;0;154100.00;462741.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;8394;0;0.000000;353;0.000000;88;0.000000;0;;27-05-2020 11:01:31;LINESTRING(154064 462737,154087 462740,154136 462742);u
121405;308325018;801;0;1;307;Amersfoort;Stationsplein;;G;0;154053.00;462735.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;8394;0;0.000000;353;0.000000;88;0.000000;0;;27-05-2020 11:01:31;LINESTRING(154041 462732,154064 462737);u
121406;308325045;801;0;1;307;Amersfoort;Vlasakkerweg;;G;0;154443.00;462805.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;2623;0;0.000000;110;0.000000;28;0.000000;0;;27-05-2020 11:01:31;LINESTRING(154419 462822,154467 462787);u
121407;308325046;801;0;1;307;Amersfoort;Vlasakkerweg;;G;0;154471.00;462785.00;0;b;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;2623;0;0.000000;110;0.000000;28;0.000000;0;;27-05-2020 11:01:31;LINESTRING(154467 462787,154475 462782);u
121408;308325048;801;0;1;307;Amersfoort;Vlasakkerweg;;G;0;154498.00;462766.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;2623;0;0.000000;110;0.000000;28;0.000000;0;;27-05-2020 11:01:31;LINESTRING(154475 462782,154521 462749);u
121409;308327054;801;0;0.332966;307;Amersfoort;Amsterdamseweg;;G;0;154107.00;463688.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;6322;0;0.000000;389;0.000000;109;0.000000;0;;27-05-2020 11:01:31;LINESTRING(154070 463713,154081 463705,154107 463688,154143 463663);u
121410;308327054;801;0.332966;0.668022;307;Amersfoort;Amsterdamseweg;;G;0;154179.00;463637.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;6322;0;0.000000;389;0.000000;109;0.000000;0;;27-05-2020 11:01:31;LINESTRING(154143 463663,154204 463620,154216 463612);u
121411;308327054;801;0.668022;1;307;Amersfoort;Amsterdamseweg;;G;0;154252.00;463586.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;6322;0;0.000000;389;0.000000;109;0.000000;0;;27-05-2020 11:01:31;LINESTRING(154216 463612,154288 463561);u
